"Time (s) Run #1","Position (m) Run #1"
0.000,0.127974
0.050,0.127114
0.100,0.126248
0.150,0.126249
0.200,0.126077
0.250,0.125904
0.300,0.125913
0.350,0.124666
0.400,0.129319
0.450,0.132574
0.500,0.137206
0.550,0.186343
0.600,0.243466
0.650,0.298042
0.700,0.349564
0.750,0.397331
0.800,0.441496
0.850,0.482774
0.900,0.520624
0.950,0.555359
1.000,0.588319
1.050,0.616267
1.100,0.640613
1.150,0.661532
1.200,0.679022
1.250,0.693074
1.300,0.703872
1.350,0.711236
1.400,0.715147
1.450,0.715979
1.500,0.713355
1.550,0.707632
1.600,0.698823
1.650,0.686554
1.700,0.671194
1.750,0.652371
1.800,0.630440
1.850,0.605413
1.900,0.576970
1.950,0.543758
2.000,0.509031
2.050,0.471365
2.100,0.430569
2.150,0.387197
2.200,0.340174
2.250,0.290025
2.300,0.236931
2.350,0.180441
2.400,0.129477
2.450,0.134700
2.500,0.131591
2.550,0.130222
2.600,0.127800
2.650,0.127270
2.700,0.128659
2.750,0.128304
2.800,0.129348
2.850,0.128831
2.900,0.128474
2.950,0.129863
3.000,0.129516
3.050,0.129516
3.100,0.129511
3.150,0.130205
3.200,0.130032
3.250,0.130032
3.300,0.130027
3.350,0.130719
3.400,0.130885
3.450,0.131747
