"Time (s) Run #2","Position (m) Run #2"
0.000,9.04376E-1
0.050,9.11256E-1
0.100,9.11402E-1
0.150,9.08322E-1
0.200,9.11908E-1
0.250,9.12678E-1
0.300,9.13389E-1
0.350,8.82661E-1
0.400,8.53811E-1
0.450,8.86745E-1
0.500,8.82029E-1
0.550,8.71939E-1
0.600,8.57133E-1
0.650,8.38474E-1
0.700,8.25148E-1
0.750,8.06129E-1
0.800,7.81301E-1
0.850,7.52994E-1
0.900,7.25984E-1
0.950,6.98103E-1
1.000,6.69430E-1
1.050,6.42696E-1
1.100,6.16814E-1
1.150,5.92124E-1
1.200,5.69154E-1
1.250,5.48051E-1
1.300,5.29967E-1
1.350,5.11963E-1
1.400,4.97226E-1
1.450,4.86133E-1
1.500,4.77783E-1
1.550,4.72713E-1
1.600,4.70564E-1
1.650,4.71520E-1
1.700,4.75223E-1
1.750,4.81856E-1
1.800,4.91065E-1
1.850,5.02769E-1
1.900,5.19999E-1
1.950,5.35588E-1
2.000,5.52810E-1
2.050,5.68672E-1
2.100,5.88234E-1
2.150,6.08494E-1
2.200,6.29097E-1
2.250,6.50061E-1
2.300,6.70801E-1
2.350,6.92893E-1
2.400,7.12357E-1
2.450,7.30628E-1
2.500,7.47445E-1
2.550,7.64975E-1
2.600,7.78466E-1
2.650,7.90054E-1
2.700,8.00216E-1
2.750,8.06151E-1
2.800,8.10203E-1
2.850,8.12200E-1
2.900,8.11962E-1
2.950,8.09390E-1
3.000,8.06903E-1
3.050,7.98503E-1
3.100,7.89446E-1
3.150,7.79017E-1
3.200,7.67115E-1
3.250,7.51748E-1
3.300,7.37497E-1
3.350,7.22369E-1
3.400,7.06710E-1
3.450,6.90955E-1
3.500,6.72967E-1
3.550,6.57109E-1
3.600,6.41768E-1
3.650,6.26926E-1
3.700,6.13124E-1
3.750,6.00166E-1
3.800,5.88581E-1
3.850,5.78553E-1
3.900,5.69892E-1
3.950,5.62953E-1
4.000,5.57747E-1
4.050,5.53895E-1
4.100,5.52120E-1
4.150,5.52070E-1
4.200,5.53563E-1
4.250,5.56791E-1
4.300,5.61206E-1
4.350,5.67362E-1
4.400,5.74537E-1
4.450,5.83109E-1
4.500,5.92357E-1
4.550,6.02652E-1
4.600,6.13457E-1
4.650,6.24967E-1
4.700,6.36649E-1
4.750,6.48515E-1
4.800,6.60216E-1
4.850,6.71567E-1
4.900,6.82692E-1
4.950,6.95179E-1
5.000,7.04833E-1
5.050,7.13823E-1
5.100,7.21610E-1
5.150,7.28194E-1
5.200,7.33576E-1
5.250,7.37769E-1
5.300,7.40393E-1
5.350,7.42008E-1
5.400,7.42053E-1
5.450,7.41072E-1
5.500,7.38880E-1
5.550,7.35663E-1
5.600,7.31227E-1
5.650,7.25929E-1
5.700,7.19764E-1
5.750,7.12903E-1
5.800,7.05517E-1
5.850,6.97795E-1
5.900,6.89604E-1
5.950,6.79568E-1
6.000,6.70950E-1
6.050,6.62690E-1
6.100,6.54410E-1
6.150,6.46648E-1
6.200,6.39401E-1
6.250,6.32672E-1
6.300,6.26446E-1
6.350,6.21088E-1
6.400,6.16412E-1
6.450,6.12596E-1
6.500,6.09641E-1
6.550,6.07540E-1
6.600,6.06472E-1
6.650,6.06436E-1
6.700,6.07443E-1
6.750,6.09133E-1
6.800,6.11688E-1
6.850,6.14931E-1
6.900,6.18873E-1
6.950,6.23154E-1
7.000,6.27956E-1
7.050,6.33108E-1
7.100,6.38432E-1
7.150,6.43934E-1
7.200,6.49430E-1
7.250,6.55117E-1
7.300,6.60454E-1
7.350,6.65626E-1
7.400,6.70460E-1
7.450,6.74753E-1
7.500,6.79189E-1
7.550,6.84602E-1
7.600,6.87890E-1
7.650,6.90669E-1
7.700,6.92754E-1
7.750,6.94322E-1
7.800,6.95382E-1
7.850,6.95754E-1
7.900,6.95424E-1
7.950,6.94757E-1
8.000,6.93573E-1
8.050,6.91867E-1
8.100,6.89858E-1
8.150,6.86397E-1
8.200,6.83452E-1
8.250,6.81071E-1
8.300,6.77933E-1
8.350,6.75957E-1
8.400,6.71622E-1
8.450,6.68188E-1
8.500,6.64556E-1
8.550,6.61452E-1
8.600,6.58521E-1
8.650,6.55762E-1
8.700,6.53175E-1
8.750,6.50748E-1
8.800,6.48842E-1
8.850,6.47281E-1
8.900,6.46064E-1
8.950,6.45198E-1
9.000,6.44484E-1
9.050,6.44478E-1
9.100,6.44650E-1
9.150,6.44809E-1
9.200,6.45318E-1
9.250,6.46006E-1
9.300,6.46681E-1
9.350,6.47713E-1
9.400,6.48745E-1
9.450,6.49764E-1
9.500,6.51146E-1
9.550,6.52344E-1
9.600,6.53720E-1
9.650,6.55102E-1
9.700,6.56299E-1
9.750,6.57682E-1
9.800,6.58886E-1
9.850,6.60096E-1
9.900,6.61135E-1
9.950,6.61995E-1
10.000,6.62855E-1
10.050,6.63728E-1
10.100,6.64244E-1
10.150,6.64760E-1
10.200,6.65289E-1
10.250,6.65461E-1
10.300,6.65640E-1
10.350,6.65640E-1
10.400,6.65640E-1
10.450,6.65647E-1
10.500,6.65468E-1
10.550,6.65475E-1
10.600,6.65303E-1
10.650,6.65131E-1
10.700,6.64965E-1
10.750,6.64621E-1
10.800,6.64277E-1
10.850,6.63933E-1
10.900,6.63583E-1
10.950,6.63417E-1
11.000,6.63067E-1
11.050,6.62901E-1
11.100,6.62551E-1
11.150,6.62379E-1
11.200,6.62207E-1
11.250,6.62035E-1
11.300,6.61863E-1
11.350,6.61684E-1
11.400,6.61691E-1
11.450,6.61512E-1
11.500,6.61512E-1
11.550,6.61519E-1
11.600,6.61340E-1
11.650,6.61340E-1
11.700,6.61340E-1
11.750,6.61340E-1
11.800,6.61340E-1
11.850,6.61340E-1
11.900,6.61340E-1
11.950,6.61340E-1
12.000,6.61340E-1
12.050,6.61340E-1
12.100,6.61340E-1
12.150,6.61340E-1
12.200,6.61347E-1
12.250,6.61161E-1
12.300,6.61340E-1
12.350,6.61340E-1
12.400,6.61340E-1
12.450,6.61340E-1
12.500,6.61340E-1
12.550,6.61340E-1
12.600,6.61340E-1
12.650,6.61340E-1
12.700,6.61340E-1
12.750,6.61340E-1
12.800,6.61340E-1
12.850,6.61340E-1
12.900,6.61340E-1
12.950,6.61340E-1
13.000,6.61340E-1
13.050,6.61340E-1
13.100,6.61340E-1
13.150,6.61340E-1
13.200,6.61340E-1
13.250,6.61333E-1
13.300,6.61519E-1
13.350,6.61333E-1
13.400,6.61512E-1
13.450,6.61512E-1
13.500,6.61512E-1
13.550,6.61512E-1
13.600,6.61512E-1
13.650,6.61512E-1
13.700,6.61519E-1
13.750,6.61340E-1
13.800,6.61333E-1
13.850,6.61519E-1
13.900,6.61340E-1
