"Time (s) Run #2","Position (m) Run #2"
0.000,0.129724
0.025,0.127285
0.050,0.126977
0.075,0.124189
0.100,0.123815
0.125,0.125560
0.150,0.125560
0.175,0.125560
0.200,0.125560
0.225,0.125560
0.250,0.125560
0.275,0.125593
0.300,0.123307
0.325,0.124508
0.350,0.125854
0.375,0.129274
0.400,0.134012
0.425,0.132025
0.450,0.158828
0.475,0.191986
0.500,0.228817
0.525,0.265330
0.550,0.300835
0.575,0.334967
0.600,0.368101
0.625,0.399697
0.650,0.429897
0.675,0.459453
0.700,0.487627
0.725,0.514789
0.750,0.540759
0.775,0.565478
0.800,0.589903
0.825,0.613403
0.850,0.634412
0.875,0.654422
0.900,0.673052
0.925,0.690472
0.950,0.706894
0.975,0.721933
1.000,0.735774
1.025,0.748416
1.050,0.759844
1.075,0.770275
1.100,0.779303
1.125,0.787334
1.150,0.793960
1.175,0.799572
1.200,0.803999
1.225,0.807018
1.250,0.809023
1.275,0.809825
1.300,0.809406
1.325,0.807987
1.350,0.805142
1.375,0.801485
1.400,0.796433
1.425,0.790160
1.450,0.782867
1.475,0.774367
1.500,0.764643
1.525,0.753899
1.550,0.741932
1.575,0.728957
1.600,0.714570
1.625,0.699146
1.650,0.682698
1.675,0.665039
1.700,0.646155
1.725,0.626257
1.750,0.604949
1.775,0.582729
1.800,0.557326
1.825,0.532724
1.850,0.507090
1.875,0.480232
1.900,0.452332
1.925,0.423372
1.950,0.393757
1.975,0.362571
2.000,0.329972
2.025,0.296510
2.050,0.262009
2.075,0.226248
2.100,0.190708
2.125,0.161210
2.150,0.140235
2.175,0.125998
2.200,0.131429
2.225,0.130089
2.250,0.126293
2.275,0.123103
2.300,0.126552
2.325,0.129380
2.350,0.126867
2.375,0.131268
2.400,0.152273
2.425,0.139025
2.450,0.157909
2.475,0.138169
2.500,0.134407
2.525,0.163448
2.550,0.142539
2.575,0.137174
2.600,0.00000
2.625,0.00000
2.650,0.00000
2.675,0.143267
2.700,0.143792
2.725,0.143749
2.750,0.145824
2.775,0.179707
2.800,0.130725
