"Time (s) Run #1","Position (m) Run #1"
0.000,8.73958E-1
0.050,8.73407E-1
0.100,8.73597E-1
0.150,8.73416E-1
0.200,8.73407E-1
0.250,8.73562E-1
0.300,8.74078E-1
0.350,8.74559E-1
0.400,8.75824E-1
0.450,8.80854E-1
0.500,7.73512E-1
0.550,8.69259E-1
0.600,8.59535E-1
0.650,8.51858E-1
0.700,8.39222E-1
0.750,8.24409E-1
0.800,8.09955E-1
0.850,7.91602E-1
0.900,7.71673E-1
0.950,7.50686E-1
1.000,7.29167E-1
1.050,7.07474E-1
1.100,6.85568E-1
1.150,6.64532E-1
1.200,6.44161E-1
1.250,6.25170E-1
1.300,6.07541E-1
1.350,5.91804E-1
1.400,5.78124E-1
1.450,5.66851E-1
1.500,5.58158E-1
1.550,5.52214E-1
1.600,5.49196E-1
1.650,5.49108E-1
1.700,5.51766E-1
1.750,5.57351E-1
1.800,5.65696E-1
1.850,5.76450E-1
1.900,5.89441E-1
1.950,6.04504E-1
2.000,6.21287E-1
2.050,6.39627E-1
2.100,6.59180E-1
2.150,6.79610E-1
2.200,7.00390E-1
2.250,7.21362E-1
2.300,7.42000E-1
2.350,7.62146E-1
2.400,7.81279E-1
2.450,7.99065E-1
2.500,8.15053E-1
2.550,8.27077E-1
2.600,8.39406E-1
2.650,8.49160E-1
2.700,8.56337E-1
2.750,8.60946E-1
2.800,8.62812E-1
2.850,8.61746E-1
2.900,8.57918E-1
2.950,8.51507E-1
3.000,8.42496E-1
3.050,8.31153E-1
3.100,8.19589E-1
3.150,8.05061E-1
3.200,7.88252E-1
3.250,7.70039E-1
3.300,7.50956E-1
3.350,7.31167E-1
3.400,7.11013E-1
3.450,6.91024E-1
3.500,6.71367E-1
3.550,6.52380E-1
3.600,6.34595E-1
3.650,6.18184E-1
3.700,6.03306E-1
3.750,5.90492E-1
3.800,5.79918E-1
3.850,5.71573E-1
3.900,5.65810E-1
3.950,5.62623E-1
4.000,5.62195E-1
4.050,5.64346E-1
4.100,5.69081E-1
4.150,5.76221E-1
4.200,5.85778E-1
4.250,5.97406E-1
4.300,6.10744E-1
4.350,6.25995E-1
4.400,6.42446E-1
4.450,6.60111E-1
4.500,6.78647E-1
4.550,6.97718E-1
4.600,7.16796E-1
4.650,7.35709E-1
4.700,7.54311E-1
4.750,7.71883E-1
4.800,7.88458E-1
4.850,8.03317E-1
4.900,8.16559E-1
4.950,8.25850E-1
5.000,8.35070E-1
5.050,8.42065E-1
5.100,8.46654E-1
5.150,8.48854E-1
5.200,8.48276E-1
5.250,8.45479E-1
5.300,8.40074E-1
5.350,8.32611E-1
5.400,8.22785E-1
5.450,8.13498E-1
5.500,8.00324E-1
5.550,7.85410E-1
5.600,7.69093E-1
5.650,7.51898E-1
5.700,7.34186E-1
5.750,7.15935E-1
5.800,6.97670E-1
5.850,6.79743E-1
5.900,6.62320E-1
5.950,6.45740E-1
6.000,6.30540E-1
6.050,6.16708E-1
6.100,6.04593E-1
6.150,5.94367E-1
6.200,5.86203E-1
6.250,5.80272E-1
6.300,5.76751E-1
6.350,5.75638E-1
6.400,5.76933E-1
6.450,5.80641E-1
6.500,5.86588E-1
6.550,5.94597E-1
6.600,6.04679E-1
6.650,6.16477E-1
6.700,6.30010E-1
6.750,6.44744E-1
6.800,6.60699E-1
6.850,6.77347E-1
6.900,6.94523E-1
6.950,7.11884E-1
7.000,7.29082E-1
7.050,7.45951E-1
7.100,7.62142E-1
7.150,7.77498E-1
7.200,7.91490E-1
7.250,8.03954E-1
7.300,8.14610E-1
7.350,8.21496E-1
7.400,8.28300E-1
7.450,8.33051E-1
7.500,8.35568E-1
7.550,8.35848E-1
7.600,8.33892E-1
7.650,8.29691E-1
7.700,8.23308E-1
7.750,8.17474E-1
7.800,8.07573E-1
7.850,7.95941E-1
7.900,7.82742E-1
7.950,7.68320E-1
8.000,7.53028E-1
8.050,7.37032E-1
8.100,7.20691E-1
8.150,7.03977E-1
8.200,6.87607E-1
8.250,6.71563E-1
8.300,6.56374E-1
8.350,6.42214E-1
8.400,6.29254E-1
8.450,6.17660E-1
8.500,6.07784E-1
8.550,5.99796E-1
8.600,5.93875E-1
8.650,5.90013E-1
8.700,5.88394E-1
8.750,5.88834E-1
8.800,5.91514E-1
8.850,5.96257E-1
8.900,6.03074E-1
8.950,6.11603E-1
9.000,6.22039E-1
9.050,6.33854E-1
9.100,6.46878E-1
9.150,6.60937E-1
9.200,6.75868E-1
9.250,6.91320E-1
9.300,7.07137E-1
9.350,7.22781E-1
9.400,7.38270E-1
9.450,7.53266E-1
9.500,7.67225E-1
9.550,7.80349E-1
9.600,7.92109E-1
9.650,8.02339E-1
9.700,8.10688E-1
9.750,8.17033E-1
9.800,8.19973E-1
9.850,8.22643E-1
9.900,8.23430E-1
9.950,8.22120E-1
10.000,8.19416E-1
10.050,8.15778E-1
10.100,8.08976E-1
10.150,8.00452E-1
10.200,7.90189E-1
10.250,7.78532E-1
10.300,7.65841E-1
10.350,7.52092E-1
10.400,7.37827E-1
10.450,7.23029E-1
10.500,7.08052E-1
10.550,6.93054E-1
10.600,6.78574E-1
10.650,6.64597E-1
10.700,6.51470E-1
10.750,6.39549E-1
10.800,6.28828E-1
10.850,6.19473E-1
10.900,6.11834E-1
10.950,6.06095E-1
11.000,6.02060E-1
11.050,6.00280E-1
11.100,6.00202E-1
11.150,6.02377E-1
11.200,6.06266E-1
11.250,6.12057E-1
11.300,6.19388E-1
11.350,6.28449E-1
11.400,6.38896E-1
11.450,6.50373E-1
11.500,6.62887E-1
11.550,6.76272E-1
11.600,6.90186E-1
11.650,7.04278E-1
11.700,7.18378E-1
11.750,7.32313E-1
11.800,7.45921E-1
11.850,7.58856E-1
11.900,7.70770E-1
11.950,7.81482E-1
12.000,7.91008E-1
12.050,7.98988E-1
12.100,8.05447E-1
12.150,8.09818E-1
12.200,8.12659E-1
12.250,8.13609E-1
12.300,8.12658E-1
12.350,8.09978E-1
12.400,8.05766E-1
12.450,7.99644E-1
12.500,7.91964E-1
12.550,7.82898E-1
12.600,7.72618E-1
12.650,7.61289E-1
12.700,7.49270E-1
12.750,7.36555E-1
12.800,7.23301E-1
12.850,7.10054E-1
12.900,6.96606E-1
12.950,6.83676E-1
13.000,6.71256E-1
13.050,6.59513E-1
13.100,6.48803E-1
13.150,6.39121E-1
13.200,6.30632E-1
13.250,6.23693E-1
13.300,6.18298E-1
13.350,6.14624E-1
13.400,6.12664E-1
13.450,6.12609E-1
13.500,6.14089E-1
13.550,6.17479E-1
13.600,6.22238E-1
13.650,6.28543E-1
13.700,6.36413E-1
13.750,6.45314E-1
13.800,6.55245E-1
13.850,6.66219E-1
13.900,6.77893E-1
13.950,6.89904E-1
14.000,7.02451E-1
14.050,7.15005E-1
14.100,7.27402E-1
14.150,7.39277E-1
14.200,7.50830E-1
14.250,7.61534E-1
14.300,7.71206E-1
14.350,7.79864E-1
14.400,7.87148E-1
14.450,7.93066E-1
14.500,7.97444E-1
14.550,8.00096E-1
14.600,8.01200E-1
14.650,8.00764E-1
14.700,7.98600E-1
14.750,7.94878E-1
14.800,7.89788E-1
14.850,7.83132E-1
14.900,7.75263E-1
14.950,7.66353E-1
15.000,7.56581E-1
15.050,7.45925E-1
15.100,7.34925E-1
15.150,7.23580E-1
15.200,7.11876E-1
15.250,7.00158E-1
15.300,6.88785E-1
15.350,6.77743E-1
15.400,6.67383E-1
15.450,6.57885E-1
15.500,6.49235E-1
15.550,6.41791E-1
15.600,6.35546E-1
15.650,6.30678E-1
15.700,6.27181E-1
15.750,6.25233E-1
15.800,6.24832E-1
15.850,6.25986E-1
15.900,6.28515E-1
15.950,6.32420E-1
16.000,6.37706E-1
16.050,6.44194E-1
16.100,6.51898E-1
16.150,6.60467E-1
16.200,6.69717E-1
16.250,6.79845E-1
16.300,6.90324E-1
16.350,7.00967E-1
16.400,7.11975E-1
16.450,7.22819E-1
