Wavelength (nm),Intensity (mV)
350,134.232
351,134.232
352,134.232
353,134.232
354,134.333
355,133.892
356,134.201
357,134.269
358,134.201
359,134.074
360,134.296
361,134.188
362,134.161
363,134.275
364,134.111
365,134.153
366,134.074
367,134.199
368,134.339
369,134.028
370,134.208
371,134.206
372,134.121
373,134.261
374,134.458
375,134.456
376,134.337
377,134.084
378,133.976
379,134.094
380,134.24
381,134.178
382,134.292
383,134.064
384,134.281
385,134.428
386,134.184
387,134.185
388,134.385
389,136.461
390,136.552
391,134.751
392,134.295
393,134.195
394,134.333
395,134.263
396,134.108
397,134.044
398,134.278
399,134.118
400,134.215
401,134.33
402,134.175
403,134.404
404,134.242
405,133.909
406,134.246
407,134.446
408,134.007
409,134.195
410,134.003
411,134.237
412,134.151
413,134.317
414,134.144
415,134.397
416,134.215
417,134.143
418,133.97
419,133.875
420,134.256
421,134.132
422,134.044
423,134.279
424,133.966
425,134.387
426,134.283
427,134.047
428,133.951
429,134.35
430,134.42
431,134.418
432,134.257
433,134.29
434,134.46
435,134.251
436,133.956
437,134.261
438,134.386
439,134.206
440,134.05
441,134.22
442,134.228
443,134.293
444,134.418
445,134.237
446,134.404
447,135.735
448,135.912
449,134.763
450,134.327
451,134.268
452,134.088
453,134.143
454,134.178
455,134.129
456,134.34
457,134.341
458,134.158
459,134.364
460,134.271
461,134.199
462,134.299
463,134.226
464,134.212
465,134.007
466,134.344
467,134.118
468,134.299
469,134.539
470,134.368
471,134.498
472,134.882
473,134.542
474,134.157
475,134.195
476,134.084
477,133.912
478,134.24
479,134.101
480,134.132
481,134.36
482,134.286
483,133.98
484,134.456
485,134.326
486,134.307
487,134.06
488,134.094
489,134.252
490,134.253
491,134.413
492,134.545
493,135.146
494,134.653
495,134.226
496,134.259
497,134.372
498,134.067
499,134.528
500,134.098
501,134.812
502,136.892
503,135.99
504,134.118
505,134.483
506,134.316
507,134.278
508,134.094
509,134.0
510,134.182
511,134.253
512,134.168
513,134.132
514,134.007
515,134.198
516,134.132
517,134.151
518,134.321
519,134.356
520,134.136
521,134.191
522,134.056
523,134.269
524,134.383
525,134.104
526,134.174
527,134.071
528,134.275
529,133.993
530,134.052
531,134.125
532,134.303
533,134.337
534,134.181
535,134.347
536,133.944
537,134.333
538,134.149
539,133.99
540,134.101
541,134.236
542,134.283
543,133.962
544,134.135
545,134.198
546,134.256
547,134.153
548,134.226
549,134.267
550,134.276
551,134.279
552,134.384
553,134.272
554,134.148
555,134.317
556,134.35
557,134.129
558,134.158
559,134.279
560,134.337
561,134.024
562,134.253
563,134.125
564,134.292
565,134.181
566,134.081
567,134.084
568,134.221
569,133.953
570,134.233
571,134.128
572,134.198
573,134.232
574,134.201
575,134.296
576,134.243
577,134.411
578,134.271
579,134.455
580,134.233
581,134.32
582,134.153
583,134.306
584,134.007
585,134.098
586,134.465
587,151.687
588,200.997
589,178.566
590,134.441
591,134.37
592,134.497
593,134.024
594,134.003
595,134.067
596,134.292
597,134.251
598,134.295
599,134.265
600,134.013
601,134.045
602,134.263
603,134.3
604,134.357
605,134.143
606,134.054
607,134.185
608,134.145
609,134.185
610,134.273
611,134.254
612,134.084
613,134.24
614,134.266
615,134.26
616,134.088
617,134.462
618,134.024
619,134.198
620,134.273
621,134.208
622,134.189
623,134.162
624,134.031
625,134.222
626,134.222
627,134.108
628,134.324
629,134.125
630,134.467
631,134.279
632,134.401
633,134.263
634,134.213
635,134.242
636,134.188
637,134.232
638,134.174
639,134.212
640,134.24
641,134.326
642,134.592
643,134.46
644,134.24
645,134.413
646,134.139
647,134.097
648,134.08
649,134.255
650,134.098
651,133.956
652,134.077
653,134.278
654,134.192
655,134.021
656,134.283
657,134.149
658,134.212
659,134.174
660,134.101
661,134.253
662,133.956
663,134.288
664,134.101
665,134.146
666,134.367
667,138.726
668,157.471
669,151.361
670,134.387
671,134.083
672,134.044
673,134.257
674,134.03
675,134.174
676,133.929
677,134.362
678,134.253
679,134.081
680,134.254
681,134.165
682,134.237
683,134.094
684,134.446
685,133.899
686,134.324
687,134.091
688,134.401
689,134.31
690,134.202
691,134.094
692,134.17
693,134.178
694,134.247
695,134.215
696,134.035
697,134.343
698,134.01
699,133.912
700,133.91
701,134.04
702,134.285
703,134.256
704,134.472
705,134.761
706,161.306
707,201.192
708,168.542
709,134.303
710,134.444
711,134.327
712,133.987
713,134.122
714,134.215
715,134.108
716,134.209
717,134.221
718,134.066
719,134.387
720,134.178
721,134.155
722,134.222
723,134.312
724,134.249
725,134.267
726,134.492
727,134.812
728,138.97
729,138.816
730,134.882
731,134.059
732,133.993
733,134.264
734,134.172
735,134.135
736,134.29
737,134.236
738,134.114
739,134.399
740,133.896
741,134.323
742,134.337
743,133.941
744,134.064
745,133.955
746,134.37
747,133.99
748,134.02
749,133.99
750,134.143
