Run date,2025-03-07
Run time,0.35 min.
Increments,0.02 nm
Samples,100 #
Max V,0.236 V
max/min V,4.41 - 
 
Wavelength (nm),Intensity (mV)
588.0,135.286
588.02,135.286
588.04,135.286
588.06,135.286
588.08,135.215
588.1,135.357
588.12,135.611
588.14,135.946
588.16,135.792
588.18,136.148
588.2,136.375
588.22,136.727
588.24,137.299
588.26,137.795
588.28,138.375
588.3,139.141
588.32,140.139
588.34,141.387
588.36,142.361
588.38,143.374
588.4,144.399
588.42,145.633
588.44,146.497
588.46,147.444
588.48,147.979
588.5,148.744
588.52,148.677
588.54,149.017
588.56,148.538
588.58,148.394
588.6,147.75
588.62,147.34
588.64,146.671
588.66,145.861
588.68,145.463
588.7,144.934
588.72,145.124
588.74,145.192
588.76,145.772
588.78,146.157
588.8,147.919
588.82,149.22
588.84,151.339
588.86,153.087
588.88,155.919
588.9,158.509
588.92,163.171
588.94,167.885
588.96,173.545
588.98,178.976
589.0,186.215
589.02,190.721
589.04,198.387
589.06,205.321
589.08,214.966
589.1,220.481
589.12,229.094
589.14,232.7
589.16,236.056
589.18,235.293
589.2,232.983
589.22,228.721
589.24,224.051
589.26,216.118
589.28,208.832
589.3,198.667
589.32,190.259
589.34,180.649
589.36,174.141
589.38,166.757
589.4,162.313
589.42,158.646
589.44,156.791
589.46,154.861
589.48,154.347
589.5,154.194
589.52,155.98
589.54,158.396
589.56,162.138
589.58,165.434
589.6,170.057
589.62,173.267
589.64,178.7
589.66,183.719
589.68,189.434
589.7,194.441
589.72,201.044
589.74,203.896
589.76,205.832
589.78,204.936
589.8,200.941
589.82,199.346
589.84,194.185
589.86,191.272
589.88,184.875
589.9,179.114
589.92,171.979
589.94,165.95
589.96,158.554
589.98,153.027
590.0,147.564
590.02,144.495
590.04,141.631
590.06,139.684
590.08,138.098
590.1,136.919
590.12,136.178
590.14,135.441
590.16,134.878
590.18,134.7
590.2,134.418
590.22,134.37
590.24,134.401
590.26,134.303
590.28,134.178
590.3,134.185
590.32,134.247
590.34,134.34
590.36,134.185
590.38,134.236
590.4,134.141
590.42,134.035
590.44,134.205
590.46,134.222
590.48,134.286
590.5,134.073
