Run date,2025-03-07
Run time,0.92 min.
Increments,1 nm
Samples,100 #
Max V,0.654 V
max/min V,5.63 - 
 
Wavelength (nm),Intensity (mV)
350,133.96
351,133.96
352,133.96
353,133.96
354,133.771
355,134.03
356,133.869
357,134.244
358,133.912
359,133.822
360,134.131
361,133.794
362,134.047
363,133.735
364,133.943
365,134.028
366,133.7
367,133.962
368,133.832
369,133.997
370,133.832
371,133.868
372,133.671
373,133.683
374,133.628
375,133.923
376,133.742
377,134.003
378,133.795
379,134.045
380,133.856
381,133.822
382,133.774
383,133.798
384,133.816
385,133.677
386,133.753
387,133.751
388,133.622
389,133.613
390,133.601
391,133.7
392,133.747
393,133.296
394,133.753
395,133.374
396,133.663
397,133.774
398,133.514
399,133.694
400,133.552
401,133.559
402,133.875
403,133.694
404,133.778
405,133.845
406,133.5
407,133.62
408,133.635
409,133.556
410,133.369
411,133.756
412,133.886
413,133.7
414,133.634
415,133.77
416,133.809
417,133.66
418,133.556
419,133.737
420,133.385
421,133.549
422,133.639
423,133.572
424,133.747
425,133.36
426,133.431
427,133.582
428,133.59
429,133.976
430,133.802
431,133.788
432,133.694
433,133.643
434,133.708
435,133.552
436,133.49
437,133.586
438,133.497
439,133.859
440,133.632
441,133.451
442,133.597
443,133.525
444,133.656
445,133.566
446,133.54
447,133.812
448,133.527
449,133.571
450,133.446
451,133.526
452,133.483
453,133.857
454,133.46
455,133.557
456,133.547
457,133.599
458,133.57
459,133.352
460,133.502
461,133.669
462,133.704
463,133.76
464,133.559
465,133.613
466,133.525
467,133.756
468,133.626
469,133.686
470,133.835
471,133.505
472,133.733
473,133.663
474,133.521
475,133.623
476,133.684
477,133.33
478,133.632
479,133.609
480,133.51
481,133.397
482,133.691
483,133.539
484,133.878
485,133.525
486,133.556
487,133.566
488,133.587
489,133.663
490,133.601
491,133.567
492,133.731
493,133.601
494,133.714
495,133.615
496,133.519
497,133.705
498,133.96
499,133.837
500,133.673
501,133.517
502,133.795
503,133.826
504,133.606
505,133.557
506,133.657
507,133.624
508,133.589
509,133.582
510,133.67
511,133.655
512,133.532
513,133.575
514,133.593
515,133.895
516,133.764
517,133.747
518,133.537
519,133.545
520,133.436
521,133.455
522,133.477
523,133.623
524,133.844
525,133.774
526,133.792
527,133.559
528,133.413
529,133.62
530,133.691
531,133.411
532,133.722
533,133.815
534,134.003
535,133.582
536,133.802
537,133.71
538,133.826
539,133.855
540,133.674
541,133.758
542,133.657
543,133.58
544,133.717
545,133.725
546,133.495
547,133.861
548,133.609
549,133.641
550,133.785
551,133.683
552,133.549
553,133.7
554,133.441
555,133.697
556,133.67
557,133.537
558,133.559
559,133.697
560,133.673
561,133.369
562,133.754
563,133.456
564,133.664
565,133.533
566,133.631
567,133.683
568,135.507
569,138.864
570,136.631
571,133.676
572,133.54
573,133.475
574,133.868
575,133.441
576,133.611
577,133.795
578,133.545
579,133.532
580,133.625
581,133.889
582,133.812
583,134.027
584,133.969
585,134.131
586,134.74
587,135.62
588,169.201
589,457.121
590,654.864
591,345.529
592,135.503
593,134.66
594,134.376
595,134.529
596,134.327
597,134.22
598,134.192
599,134.324
600,134.377
601,134.115
602,134.168
603,134.129
604,134.094
605,134.091
606,134.195
607,134.226
608,134.148
609,134.279
610,134.236
611,134.256
612,134.135
613,134.141
614,134.188
615,134.535
616,135.781
617,135.549
618,134.233
619,134.168
620,134.205
621,134.074
622,133.997
623,134.283
624,134.031
625,133.98
626,134.028
627,134.03
628,134.146
629,134.236
630,134.097
631,134.259
632,134.356
633,134.08
634,134.185
635,134.073
636,134.084
637,133.976
638,133.912
639,134.028
640,133.997
641,134.059
642,134.202
643,134.028
644,134.145
645,134.07
646,134.199
647,134.206
648,134.047
649,134.045
650,134.084
651,134.132
652,133.96
653,134.062
654,134.017
655,134.066
656,133.865
657,133.958
658,133.933
659,133.899
660,133.962
661,134.283
662,133.99
663,134.054
664,134.128
665,134.118
666,133.913
667,133.99
668,134.076
669,133.882
670,134.194
671,134.192
672,133.885
673,134.034
674,134.007
675,133.946
676,134.286
677,133.845
678,134.073
679,134.03
680,134.105
681,134.266
682,134.118
683,134.037
684,133.976
685,133.791
686,134.02
687,134.139
688,134.074
689,134.052
690,133.946
691,134.198
692,134.101
693,134.042
694,134.091
695,133.979
696,134.155
697,134.125
698,134.178
699,134.118
700,133.953
701,134.205
702,134.219
703,133.955
704,134.158
705,133.917
706,133.98
707,134.056
708,134.02
709,134.042
710,133.976
711,133.903
712,134.013
713,134.131
714,133.871
715,133.896
716,133.965
717,134.024
718,133.927
719,133.97
720,134.098
721,134.054
722,134.0
723,134.101
724,134.178
725,134.051
726,133.777
727,134.168
728,133.969
729,134.168
730,134.073
731,133.862
732,133.986
733,134.01
734,134.045
735,134.054
736,134.021
737,134.161
738,134.143
739,134.205
740,133.97
741,134.076
742,134.168
743,134.056
744,133.993
745,134.035
746,134.02
747,134.031
748,133.963
749,134.049
750,134.084
