Wavelength (nm),Intensity (mV)
500.0,137.04
500.5,137.04
501.0,137.04
501.5,137.04
502.0,137.941
502.5,137.29
503.0,135.285
503.5,134.202
504.0,134.181
504.5,134.178
505.0,134.344
505.5,134.226
506.0,133.972
506.5,134.182
507.0,134.194
507.5,134.172
508.0,134.354
508.5,134.131
509.0,134.257
509.5,134.02
510.0,134.052
510.5,134.088
511.0,134.278
511.5,134.192
512.0,133.941
512.5,134.236
513.0,134.141
513.5,134.408
514.0,134.168
514.5,134.209
515.0,134.225
515.5,134.24
516.0,134.268
516.5,134.226
517.0,134.16
517.5,134.242
518.0,134.312
518.5,134.047
519.0,134.097
519.5,134.226
520.0,134.059
520.5,134.384
521.0,134.226
521.5,134.172
522.0,134.191
522.5,134.202
523.0,134.191
523.5,134.054
524.0,133.903
524.5,134.32
525.0,134.111
525.5,134.091
526.0,134.097
526.5,134.135
527.0,134.066
527.5,134.253
528.0,134.135
528.5,134.125
529.0,134.292
529.5,134.247
530.0,134.164
530.5,134.059
531.0,134.229
531.5,134.254
532.0,134.182
532.5,134.279
533.0,134.327
533.5,134.07
534.0,134.003
534.5,134.0
535.0,134.014
535.5,134.374
536.0,134.247
536.5,134.02
537.0,134.312
537.5,134.057
538.0,134.205
538.5,133.997
539.0,134.104
539.5,134.222
540.0,134.17
540.5,134.232
541.0,133.934
541.5,134.155
542.0,134.281
542.5,134.172
543.0,133.941
543.5,134.094
544.0,134.038
544.5,134.114
545.0,134.059
545.5,134.047
546.0,134.084
546.5,134.105
547.0,134.441
547.5,134.15
548.0,134.36
548.5,134.15
549.0,134.054
549.5,134.146
550.0,134.199
550.5,134.254
551.0,134.017
551.5,134.164
552.0,134.088
552.5,134.213
553.0,133.97
553.5,134.0
554.0,134.094
554.5,134.045
555.0,134.232
555.5,134.219
556.0,134.195
556.5,134.09
557.0,134.03
557.5,134.083
558.0,134.283
558.5,134.274
559.0,134.101
559.5,134.178
560.0,134.084
560.5,133.976
561.0,134.136
561.5,134.36
562.0,134.021
562.5,134.492
563.0,134.185
563.5,134.081
564.0,134.24
564.5,134.263
565.0,134.07
565.5,133.805
566.0,134.105
566.5,134.145
567.0,134.101
567.5,134.252
568.0,134.059
568.5,134.161
569.0,134.275
569.5,134.211
570.0,134.31
570.5,134.117
571.0,134.087
571.5,134.064
572.0,134.254
572.5,133.987
573.0,134.219
573.5,134.142
574.0,134.313
574.5,134.091
575.0,133.966
575.5,134.296
576.0,134.212
576.5,134.188
577.0,134.229
577.5,134.16
578.0,134.098
578.5,134.199
579.0,134.118
579.5,134.077
580.0,134.178
580.5,134.321
581.0,134.397
581.5,134.118
582.0,134.094
582.5,134.141
583.0,134.097
583.5,134.465
584.0,134.156
584.5,134.074
585.0,134.264
585.5,134.316
586.0,134.479
586.5,139.663
587.0,157.438
587.5,199.966
588.0,227.358
588.5,207.949
589.0,158.944
589.5,134.468
590.0,134.028
590.5,134.215
591.0,134.286
591.5,134.283
592.0,134.202
592.5,134.226
593.0,134.084
593.5,134.017
594.0,134.24
594.5,134.35
595.0,134.401
595.5,134.188
596.0,134.174
596.5,134.114
597.0,134.02
597.5,134.385
598.0,134.229
598.5,134.253
599.0,134.034
599.5,134.146
600.0,134.205
600.5,134.024
601.0,134.098
601.5,134.25
602.0,133.949
602.5,133.972
603.0,134.178
603.5,134.219
604.0,134.377
604.5,134.146
605.0,134.013
605.5,134.191
606.0,134.263
606.5,134.351
607.0,134.081
607.5,134.128
608.0,134.357
608.5,134.066
609.0,134.051
609.5,134.069
610.0,133.96
610.5,134.188
611.0,134.22
611.5,134.319
612.0,134.052
612.5,134.188
613.0,134.23
613.5,134.121
614.0,134.125
614.5,134.02
615.0,134.157
615.5,134.114
616.0,134.181
616.5,134.215
617.0,134.199
617.5,133.939
618.0,134.042
618.5,134.448
619.0,134.321
619.5,134.114
620.0,134.192
620.5,134.077
621.0,134.194
621.5,134.077
622.0,133.934
622.5,134.03
623.0,134.281
623.5,134.29
624.0,134.226
624.5,134.044
625.0,134.185
625.5,134.031
626.0,134.118
626.5,134.208
627.0,134.121
627.5,134.101
628.0,134.152
628.5,133.993
629.0,134.215
629.5,134.188
630.0,134.118
630.5,134.202
631.0,134.165
631.5,134.042
632.0,134.158
632.5,134.087
633.0,134.121
633.5,134.206
634.0,134.182
634.5,134.017
635.0,134.073
635.5,134.047
636.0,134.264
636.5,134.242
637.0,134.205
637.5,133.98
638.0,134.285
638.5,134.158
639.0,134.09
639.5,134.098
640.0,134.281
640.5,134.192
641.0,134.192
641.5,134.108
642.0,134.185
642.5,134.16
643.0,133.987
643.5,134.143
644.0,134.178
644.5,134.268
645.0,133.983
645.5,134.15
646.0,134.189
646.5,134.129
647.0,134.38
647.5,134.056
648.0,134.333
648.5,134.091
649.0,134.276
649.5,134.077
650.0,134.155
650.5,134.254
651.0,134.191
651.5,134.199
652.0,134.215
652.5,133.965
653.0,134.221
653.5,134.16
654.0,134.134
654.5,133.983
655.0,134.278
655.5,134.101
656.0,134.278
656.5,134.02
657.0,134.236
657.5,133.899
658.0,134.267
658.5,134.175
659.0,134.094
659.5,134.017
660.0,134.146
660.5,134.246
661.0,134.326
661.5,134.283
662.0,133.941
662.5,134.226
663.0,134.201
663.5,134.158
664.0,134.128
664.5,134.118
665.0,134.108
665.5,134.259
666.0,134.24
666.5,135.485
667.0,139.635
667.5,155.498
668.0,169.319
668.5,165.666
669.0,147.825
669.5,134.063
670.0,134.074
670.5,134.139
671.0,134.172
671.5,134.15
672.0,134.145
672.5,134.146
673.0,134.125
673.5,134.174
674.0,134.128
674.5,134.172
675.0,133.889
675.5,134.131
676.0,134.035
676.5,134.152
677.0,134.083
677.5,134.044
678.0,134.042
678.5,134.249
679.0,134.142
679.5,134.202
680.0,134.194
680.5,134.236
681.0,134.358
681.5,133.943
682.0,134.052
682.5,134.01
683.0,134.076
683.5,134.229
684.0,134.275
684.5,134.279
685.0,134.162
685.5,134.139
686.0,134.111
686.5,134.108
687.0,134.165
687.5,134.108
688.0,134.296
688.5,134.233
689.0,134.316
689.5,134.237
690.0,134.32
690.5,134.181
691.0,133.99
691.5,134.188
692.0,134.172
692.5,134.024
693.0,134.044
693.5,134.135
694.0,134.145
694.5,134.03
695.0,133.816
695.5,134.061
696.0,134.09
696.5,134.175
697.0,134.26
697.5,134.195
698.0,134.24
698.5,134.266
699.0,133.892
699.5,133.949
700.0,134.16
700.5,134.148
701.0,134.157
701.5,134.29
702.0,134.249
702.5,134.213
703.0,134.323
703.5,134.293
704.0,134.384
704.5,134.739
705.0,135.051
705.5,141.372
706.0,166.704
706.5,202.222
707.0,214.189
707.5,177.84
708.0,141.013
708.5,134.007
709.0,134.128
709.5,134.101
710.0,134.394
710.5,134.108
711.0,133.933
711.5,134.104
712.0,134.094
712.5,134.017
713.0,134.013
713.5,133.878
714.0,134.199
714.5,134.229
715.0,134.249
715.5,134.189
716.0,134.22
716.5,134.327
717.0,134.265
717.5,134.232
718.0,134.139
718.5,134.199
719.0,134.035
719.5,134.117
720.0,134.101
720.5,134.255
721.0,134.174
721.5,134.161
722.0,134.317
722.5,134.275
723.0,134.188
723.5,134.121
724.0,134.132
724.5,134.209
725.0,134.084
725.5,134.222
726.0,134.118
726.5,134.3
727.0,134.718
727.5,137.623
728.0,141.122
728.5,141.916
729.0,138.491
729.5,134.737
730.0,134.249
730.5,134.104
731.0,134.397
731.5,134.0
732.0,134.128
732.5,134.01
733.0,133.96
733.5,134.049
734.0,134.407
734.5,134.023
735.0,134.115
735.5,134.221
736.0,134.334
736.5,134.151
737.0,134.087
737.5,134.225
738.0,134.355
738.5,134.128
739.0,134.307
739.5,134.158
740.0,134.017
740.5,134.182
741.0,133.993
741.5,134.202
742.0,134.035
742.5,134.178
743.0,134.157
743.5,134.121
744.0,134.105
744.5,134.276
745.0,134.145
745.5,134.222
746.0,134.152
746.5,133.965
747.0,134.195
747.5,134.194
748.0,134.374
748.5,134.003
749.0,133.997
749.5,134.049
750.0,134.172
