Wavelength (nm),Intensity (mV)
350,134.191
351,134.191
352,134.191
353,134.191
354,134.108
355,134.155
356,134.23
357,134.013
358,134.369
359,134.259
360,134.063
361,133.859
362,134.118
363,134.256
364,134.303
365,134.215
366,133.997
367,134.182
368,133.99
369,134.138
370,134.247
371,134.199
372,134.382
373,134.357
374,134.198
375,134.34
376,134.229
377,133.973
378,134.007
379,134.219
380,134.253
381,134.345
382,134.246
383,134.171
384,134.104
385,133.99
386,134.118
387,134.258
388,134.434
389,137.498
390,137.229
391,134.777
392,134.36
393,134.122
394,134.154
395,134.129
396,134.302
397,134.171
398,134.215
399,134.195
400,134.195
401,134.202
402,134.201
403,134.394
404,134.249
405,134.251
406,134.131
407,134.165
408,134.014
409,134.101
410,134.212
411,134.35
412,134.178
413,134.237
414,134.266
415,134.3
416,134.357
417,134.094
418,134.007
419,134.216
420,134.165
421,134.411
422,134.097
423,134.118
424,134.081
425,134.094
426,134.409
427,134.171
428,134.463
429,134.38
430,134.309
431,134.115
432,134.316
433,134.111
434,134.114
435,134.216
436,134.182
437,134.098
438,134.266
439,134.343
440,134.264
441,133.983
442,134.146
443,134.077
444,134.253
445,134.256
446,134.444
447,136.478
448,137.16
449,134.677
450,134.118
451,134.162
452,134.108
453,134.094
454,134.101
455,134.327
456,134.215
457,134.387
458,134.059
459,134.212
460,134.199
461,134.202
462,134.038
463,134.323
464,134.213
465,134.121
466,134.24
467,134.141
468,134.226
469,134.279
470,134.36
471,134.542
472,135.01
473,134.49
474,134.253
475,134.219
476,134.333
477,134.25
478,134.316
479,134.007
480,134.178
481,134.396
482,134.212
483,134.243
484,134.249
485,134.007
486,134.283
487,134.292
488,134.192
489,134.247
490,134.057
491,134.039
492,135.066
493,135.202
494,134.521
495,134.034
496,134.188
497,134.364
498,134.149
499,134.286
500,134.153
501,135.03
502,137.785
503,136.539
504,134.16
505,134.263
506,134.396
507,134.377
508,134.188
509,134.293
510,134.226
511,134.084
512,134.094
513,134.182
514,134.223
515,134.084
516,134.229
517,134.666
518,134.199
519,134.22
520,134.253
521,133.951
522,134.273
523,134.341
524,134.333
525,134.122
526,134.114
527,134.215
528,134.135
529,134.319
530,134.229
531,134.295
532,134.249
533,134.104
534,134.222
535,134.493
536,134.293
537,134.288
538,134.044
539,134.243
540,134.232
541,134.01
542,134.36
543,134.274
544,134.064
545,134.017
546,134.223
547,134.064
548,134.397
549,134.175
550,134.146
551,134.168
552,134.3
553,134.107
554,134.223
555,134.215
556,134.223
557,134.047
558,134.139
559,134.242
560,134.192
561,134.158
562,134.084
563,134.054
564,134.038
565,134.128
566,134.017
567,134.347
568,134.017
569,134.101
570,134.155
571,134.205
572,134.057
573,134.177
574,134.219
575,134.063
576,134.135
577,134.219
578,134.167
579,134.175
580,134.226
581,134.101
582,134.122
583,134.199
584,134.115
585,134.323
586,134.453
587,156.389
588,216.488
589,188.483
590,134.174
591,134.329
592,134.307
593,134.164
594,134.139
595,134.255
596,134.279
597,133.97
598,134.404
599,134.17
600,134.162
601,134.385
602,134.178
603,134.097
604,134.229
605,134.316
606,134.202
607,134.056
608,134.232
609,134.174
610,134.233
611,134.32
612,134.069
613,134.185
614,134.194
615,134.085
616,134.133
617,134.129
618,134.321
619,134.282
620,134.131
621,134.3
622,134.397
623,134.138
624,133.903
625,134.057
626,134.149
627,134.205
628,134.187
629,134.23
630,133.983
631,134.216
632,134.215
633,134.125
634,134.125
635,134.267
636,134.283
637,134.135
638,134.121
639,134.172
640,134.281
641,134.337
642,134.212
643,134.3
644,134.111
645,134.35
646,134.118
647,133.997
648,134.146
649,134.065
650,134.337
651,134.212
652,134.247
653,134.226
654,134.097
655,134.182
656,134.069
657,134.233
658,134.155
659,134.067
660,134.51
661,134.219
662,134.118
663,134.401
664,134.319
665,134.343
666,134.576
667,139.458
668,161.893
669,154.431
670,134.337
671,134.232
672,134.247
673,133.966
674,134.222
675,134.219
676,134.111
677,134.168
678,134.212
679,134.194
680,134.135
681,134.247
682,134.185
683,134.024
684,134.369
685,134.275
686,134.218
687,134.077
688,134.061
689,134.253
690,133.98
691,134.271
692,133.973
693,134.205
694,134.192
695,134.247
696,134.303
697,134.028
698,134.077
699,134.059
700,134.236
701,134.088
702,134.167
703,134.222
704,134.502
705,135.003
706,169.39
707,211.29
708,169.059
709,134.31
710,134.326
711,134.286
712,133.938
713,134.101
714,134.115
715,134.242
716,134.22
717,134.077
718,134.22
719,134.512
720,134.153
721,134.067
722,134.105
723,134.35
724,134.118
725,134.263
726,134.146
727,134.963
728,140.378
729,140.626
730,134.855
731,134.256
732,134.389
733,133.993
734,134.121
735,134.167
736,134.064
737,134.108
738,134.212
739,134.16
740,134.158
741,134.307
742,134.189
743,134.205
744,134.104
745,134.279
746,134.017
747,134.168
748,134.167
749,134.175
750,134.153
