Run date,2025-03-07
Run time,0.51 min.
Increments,0.1 nm
Samples,100 #
Max V,0.817 V
max/min V,6.12 - 
 
Wavelength (nm),Intensity (mV)
580.0,133.781
580.1,133.781
580.2,133.781
580.3,133.781
580.4,133.842
580.5,133.951
580.6,133.7
580.7,133.521
580.8,134.03
580.9,133.865
581.0,133.694
581.1,133.819
581.2,133.667
581.3,133.764
581.4,133.747
581.5,133.948
581.6,133.727
581.7,133.903
581.8,133.949
581.9,133.681
582.0,133.875
582.1,133.836
582.2,133.753
582.3,133.953
582.4,133.85
582.5,133.832
582.6,133.958
582.7,133.977
582.8,133.854
582.9,134.087
583.0,133.934
583.1,133.761
583.2,133.92
583.3,134.047
583.4,133.829
583.5,134.024
583.6,134.084
583.7,133.798
583.8,134.164
583.9,134.003
584.0,133.868
584.1,134.02
584.2,134.223
584.3,133.815
584.4,134.111
584.5,134.29
584.6,133.972
584.7,134.152
584.8,134.314
584.9,134.215
585.0,134.024
585.1,134.316
585.2,134.239
585.3,134.42
585.4,134.616
585.5,134.521
585.6,134.673
585.7,134.882
585.8,134.896
585.9,134.748
586.0,134.78
586.1,134.872
586.2,134.93
586.3,135.181
586.4,135.282
586.5,135.409
586.6,135.46
586.7,135.57
586.8,135.997
586.9,135.987
587.0,136.192
587.1,136.478
587.2,136.847
587.3,137.424
587.4,138.098
587.5,139.125
587.6,141.254
587.7,145.801
587.8,156.533
587.9,174.037
588.0,192.289
588.1,208.609
588.2,222.157
588.3,245.31
588.4,282.057
588.5,344.806
588.6,433.879
588.7,529.212
588.8,593.337
588.9,633.628
589.0,668.475
589.1,713.06
589.2,764.836
589.3,798.434
589.4,816.454
589.5,814.48
589.6,817.719
589.7,809.615
589.8,794.918
589.9,744.262
590.0,656.4
590.1,546.045
590.2,472.99
590.3,435.688
590.4,409.185
590.5,358.743
590.6,284.852
590.7,202.872
590.8,155.65
590.9,140.135
591.0,136.704
591.1,135.681
591.2,135.694
591.3,135.222
591.4,135.257
591.5,135.3
591.6,135.215
591.7,135.175
591.8,134.816
591.9,135.111
592.0,134.801
592.1,134.596
592.2,134.749
592.3,134.734
592.4,134.704
592.5,134.776
592.6,134.542
592.7,134.42
592.8,134.562
592.9,134.579
593.0,134.719
593.1,134.495
593.2,134.39
593.3,134.495
593.4,134.261
593.5,134.492
593.6,134.725
593.7,134.32
593.8,134.578
593.9,134.593
594.0,134.216
594.1,134.32
594.2,134.397
594.3,134.428
594.4,134.348
594.5,134.36
594.6,134.53
594.7,134.337
594.8,134.181
594.9,134.283
595.0,134.216
595.1,134.118
595.2,134.282
595.3,134.326
595.4,134.216
595.5,134.436
595.6,134.244
595.7,134.299
595.8,134.34
595.9,134.434
596.0,134.104
596.1,134.378
596.2,134.313
596.3,134.25
596.4,134.256
596.5,134.347
596.6,134.094
596.7,134.212
596.8,134.3
596.9,134.208
597.0,134.168
597.1,134.167
597.2,134.141
597.3,134.281
597.4,134.239
597.5,134.17
597.6,134.253
597.7,134.059
597.8,134.135
597.9,134.177
598.0,134.104
598.1,134.438
598.2,134.071
598.3,134.212
598.4,134.461
598.5,134.293
598.6,134.164
598.7,134.256
598.8,134.108
598.9,134.027
599.0,134.289
599.1,134.104
599.2,134.258
599.3,134.064
599.4,134.3
599.5,134.111
599.6,134.272
599.7,134.151
599.8,134.15
599.9,134.07
600.0,134.265
