freq (Hz), C_s (nF), R, eps (/e_0)
1.00143,2.59328e-10,7.46605e+24,2.24242
3.00429,3.1365e-10,-4.64442e+24,2.71214
5.00715,3.19287e-10,-8.23246e+25,2.76088
7.15308,3.22574e-10,1.05932e+25,2.78931
10.0143,3.25044e-10,2.65665e+24,2.81067
30.0429,3.23485e-10,-6.28295e+23,2.79718
50.0715,3.23233e-10,4.98923e+23,2.79501
71.5308,3.23678e-10,3.39852e+23,2.79886
100.143,3.23421e-10,1.846e+24,2.79663
300.429,3.20652e-10,-1.71031e+22,2.77269
500.715,3.23364e-10,4.46592e+22,2.79614
715.308,3.21698e-10,-4.011e+22,2.78174
