freq (Hz), C_s (nF), R, eps (/e_0)
1.00143,6.76777e-10,-2.7795e+24,2.03032
3.00429,8.21289e-10,9.91784e+24,2.46386
5.00715,8.41951e-10,6.60889e+23,2.52585
7.15308,8.43311e-10,2.23312e+24,2.52993
10.0143,8.46599e-10,2.40852e+23,2.53979
30.0429,8.49657e-10,1.42063e+23,2.54897
50.0715,8.51171e-10,1.84557e+23,2.55351
71.5308,8.47988e-10,-6.13744e+22,2.54396
100.143,8.50258e-10,-5.88657e+22,2.55077
300.429,8.48614e-10,8.90955e+21,2.54583
500.715,8.47526e-10,6.20055e+22,2.54257
715.308,8.4702e-10,5.04847e+22,2.54105
