Record Length,Analog:7000,
Sample Interval,Analog:4.000000E-08,
Vertical Units,CH1:V, CH2:V,,
Vertical Scale,CH1:+1.000000E-01, CH2:+5.000000E+00,,
Vertical Offset,CH1:+2.000000E-03, CH2:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+2.000000E+01,
Model Number,SDS1202X-E,
Serial Number,SDS1EEFX803349,
Software Version,1.3.27,
Source,CH1,CH2
Second,Value,Value
-1.400000E-04,-1.260000E-01,-4.400000E+00
-1.399600E-04,-1.220000E-01,-4.400000E+00
-1.399200E-04,-1.260000E-01,-4.400000E+00
-1.398800E-04,-1.260000E-01,-4.200000E+00
-1.398400E-04,-1.260000E-01,-4.600000E+00
-1.398000E-04,-1.260000E-01,-4.400000E+00
-1.397600E-04,-1.220000E-01,-4.400000E+00
-1.397200E-04,-1.220000E-01,-4.200000E+00
-1.396800E-04,-1.220000E-01,-4.200000E+00
-1.396400E-04,-1.220000E-01,-4.400000E+00
-1.396000E-04,-1.220000E-01,-4.400000E+00
-1.395600E-04,-1.220000E-01,-4.400000E+00
-1.395200E-04,-1.180000E-01,-4.200000E+00
-1.394800E-04,-1.140000E-01,-4.200000E+00
-1.394400E-04,-1.180000E-01,-4.200000E+00
-1.394000E-04,-1.220000E-01,-4.200000E+00
-1.393600E-04,-1.180000E-01,-4.400000E+00
-1.393200E-04,-1.180000E-01,-4.400000E+00
-1.392800E-04,-1.220000E-01,-4.400000E+00
-1.392400E-04,-1.180000E-01,-4.200000E+00
-1.392000E-04,-1.140000E-01,-4.200000E+00
-1.391600E-04,-1.220000E-01,-4.200000E+00
-1.391200E-04,-1.180000E-01,-4.200000E+00
-1.390800E-04,-1.180000E-01,-4.200000E+00
-1.390400E-04,-1.180000E-01,-4.400000E+00
-1.390000E-04,-1.140000E-01,-4.400000E+00
-1.389600E-04,-1.140000E-01,-4.200000E+00
-1.389200E-04,-1.140000E-01,-4.200000E+00
-1.388800E-04,-1.140000E-01,-4.200000E+00
-1.388400E-04,-1.100000E-01,-4.200000E+00
-1.388000E-04,-1.140000E-01,-4.200000E+00
-1.387600E-04,-1.140000E-01,-4.400000E+00
-1.387200E-04,-1.100000E-01,-4.200000E+00
-1.386800E-04,-1.140000E-01,-4.400000E+00
-1.386400E-04,-1.140000E-01,-4.200000E+00
-1.386000E-04,-1.100000E-01,-4.400000E+00
-1.385600E-04,-1.100000E-01,-4.400000E+00
-1.385200E-04,-1.100000E-01,-4.200000E+00
-1.384800E-04,-1.100000E-01,-4.200000E+00
-1.384400E-04,-1.140000E-01,-4.200000E+00
-1.384000E-04,-1.100000E-01,-4.200000E+00
-1.383600E-04,-1.100000E-01,-4.200000E+00
-1.383200E-04,-1.100000E-01,-4.200000E+00
-1.382800E-04,-1.060000E-01,-4.200000E+00
-1.382400E-04,-1.020000E-01,-4.200000E+00
