freq (Hz), C_s (F), R, eps (/e_0)
1.00143,2.59077e-10,-6.23373e+08,2.24025
3.00429,3.13597e-10,-3.59929e+08,2.71169
5.00715,3.19265e-10,-3.32451e+08,2.7607
7.15308,3.22563e-10,-3.31359e+08,2.78922
10.0143,3.25039e-10,-3.44604e+08,2.81062
30.0429,3.23484e-10,-3.63022e+08,2.79718
50.0715,3.23233e-10,-4.12576e+08,2.79501
71.5308,3.23678e-10,-3.30395e+09,2.79886
100.143,3.23421e-10,-8.37442e+08,2.79663
300.429,3.20652e-10,2.46704e+08,2.77269
500.715,3.23364e-10,6.60705e+07,2.79614
715.308,3.21698e-10,3.77908e+08,2.78174
1001.43,3.2005e-10,3.80787e+07,2.76749
