"Time (s) Run #1","Magnetic Field Strength (Axial) (G) Run #1","Magnetic Field Strength (Perpendicular) (T) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,2.58372E+1,1.82673E-4,-4.345,,,-5.45594E-2,,
0.100,2.57719E+1,1.73471E-4,-4.345,0.000,,-5.45594E-2,0.000,
0.200,2.58020E+1,1.82121E-4,-4.345,0.000,0.000,-5.45594E-2,0.000,0.000
0.300,2.57802E+1,1.81384E-4,-4.345,0.000,0.000,-5.45594E-2,0.000,0.000
0.400,2.57610E+1,1.87365E-4,-4.345,0.000,0.000,-5.45594E-2,0.000,0.000
0.500,2.57677E+1,1.84145E-4,-4.345,0.000,-0.004,-5.45594E-2,0.000,-5.479E-5
0.600,2.57568E+1,1.81661E-4,-4.345,0.000,-0.013,-5.45594E-2,0.000,-1.644E-4
0.700,2.58212E+1,1.68594E-4,-4.345,-0.003,-0.013,-5.45594E-2,-3.288E-5,-1.644E-4
0.800,2.58581E+1,1.84329E-4,-4.345,-0.005,0.004,-5.45594E-2,-6.575E-5,5.479E-5
0.900,2.58221E+1,1.84421E-4,-4.346,-0.003,0.467,-5.45791E-2,-3.288E-5,0.006
1.000,2.57325E+1,1.82397E-4,-4.346,0.003,1.854,-5.45791E-2,3.288E-5,0.023
1.100,2.56974E+1,1.74575E-4,-4.345,0.270,3.857,-5.45594E-2,0.003,0.048
1.200,2.57350E+1,1.84789E-4,-4.345,0.835,5.149,-5.45594E-2,0.010,0.065
1.300,2.61217E+1,1.93991E-4,-4.186,1.479,4.577,-5.25671E-2,0.019,0.057
1.400,2.63410E+1,2.01628E-4,-4.004,1.882,2.723,-5.02790E-2,0.024,0.034
1.500,2.66231E+1,2.02272E-4,-3.798,1.969,1.052,-4.76951E-2,0.025,0.013
1.600,2.67679E+1,2.07609E-4,-3.603,1.979,0.532,-4.52492E-2,0.025,0.007
1.700,2.69570E+1,2.10645E-4,-3.405,2.013,0.890,-4.27638E-2,0.025,0.011
1.800,2.69947E+1,2.24907E-4,-3.209,2.157,0.886,-4.02982E-2,0.027,0.011
1.900,2.70022E+1,2.37237E-4,-2.985,2.325,-0.663,-3.74775E-2,0.029,-0.008
2.000,2.70550E+1,2.26564E-4,-2.730,2.199,-3.604,-3.42821E-2,0.028,-0.045
2.100,2.68784E+1,2.33925E-4,-2.490,1.573,-6.013,-3.12641E-2,0.020,-0.076
2.200,2.67562E+1,2.41562E-4,-2.384,0.746,-6.008,-2.99426E-2,0.009,-0.075
2.300,2.68240E+1,2.37329E-4,-2.386,0.170,-3.866,-2.99623E-2,0.002,-0.049
2.400,2.68122E+1,2.38066E-4,-2.386,-0.003,-0.694,-2.99623E-2,-3.288E-5,-0.009
2.500,2.68122E+1,2.37698E-4,-2.386,0.003,2.793,-2.99623E-2,3.288E-5,0.035
2.600,2.68256E+1,2.39630E-4,-2.386,0.497,5.895,-2.99623E-2,0.006,0.074
2.700,2.68005E+1,2.38158E-4,-2.384,1.346,6.894,-2.99426E-2,0.017,0.087
2.800,2.66356E+1,2.36409E-4,-2.089,2.191,4.616,-2.62343E-2,0.028,0.058
2.900,2.65000E+1,2.42298E-4,-1.876,2.445,0.567,-2.35517E-2,0.031,0.007
3.000,2.62674E+1,2.45979E-4,-1.580,2.168,-2.945,-1.98434E-2,0.027,-0.037
3.100,2.60874E+1,2.39170E-4,-1.426,1.710,-4.285,-1.79103E-2,0.021,-0.054
3.200,2.59049E+1,2.44507E-4,-1.238,1.160,-3.683,-1.55433E-2,0.015,-0.046
3.300,2.58690E+1,2.39078E-4,-1.192,0.882,-1.828,-1.49713E-2,0.011,-0.023
3.400,2.58388E+1,2.36317E-4,-1.118,0.785,0.096,-1.40442E-2,0.010,0.001
3.500,2.57317E+1,2.45611E-4,-1.016,0.987,1.257,-1.27621E-2,0.012,0.016
3.600,2.57116E+1,2.43586E-4,-0.942,1.113,1.785,-1.18350E-2,0.014,0.022
3.700,2.56396E+1,2.33005E-4,-0.776,1.309,1.710,-9.74415E-3,0.016,0.021
3.800,2.55568E+1,2.42390E-4,-0.691,1.534,0.785,-8.67900E-3,0.019,0.010
3.900,2.54337E+1,2.45335E-4,-0.482,1.592,-1.444,-6.05558E-3,0.020,-0.018
4.000,2.54438E+1,2.39354E-4,-0.316,1.301,-3.752,-3.96473E-3,0.016,-0.047
4.100,2.53919E+1,2.38066E-4,-0.196,0.675,-4.490,-2.46563E-3,0.008,-0.056
4.200,2.53551E+1,2.31441E-4,-0.196,0.199,-3.294,-2.46563E-3,0.002,-0.041
4.300,2.53793E+1,2.32637E-4,-0.196,0.000,-1.457,-2.46563E-3,0.000,-0.018
4.400,2.54028E+1,2.37237E-4,-0.196,0.000,-0.292,-2.46563E-3,0.000,-0.004
4.500,2.53601E+1,2.36777E-4,-0.196,0.000,0.249,-2.46563E-3,0.000,0.003
4.600,2.54973E+1,2.35029E-4,-0.196,0.024,1.274,-2.46563E-3,2.959E-4,0.016
4.700,2.53634E+1,2.31625E-4,-0.196,0.126,3.478,-2.46563E-3,0.002,0.044
4.800,2.54580E+1,2.36593E-4,-0.182,0.639,5.720,-2.28810E-3,0.008,0.072
4.900,2.54270E+1,2.32637E-4,-0.135,1.471,6.152,-1.69635E-3,0.018,0.077
5.000,2.53174E+1,2.28128E-4,0.126,2.110,3.914,1.57800E-3,0.026,0.049
5.100,2.53065E+1,2.32637E-4,0.379,2.346,0.336,4.75372E-3,0.029,0.004
5.200,2.53760E+1,2.39078E-4,0.570,2.113,-2.932,7.16017E-3,0.027,-0.037
5.300,2.55124E+1,2.26932E-4,0.828,1.670,-5.048,1.03951E-2,0.021,-0.063
5.400,2.55409E+1,2.30796E-4,0.944,1.026,-5.459,1.18547E-2,0.013,-0.069
5.500,2.56204E+1,2.35581E-4,1.007,0.403,-4.324,1.26437E-2,0.005,-0.054
5.600,2.56472E+1,2.41562E-4,1.007,0.105,-2.395,1.26437E-2,0.001,-0.030
5.700,2.56405E+1,2.34109E-4,1.007,-0.003,-0.864,1.26437E-2,-3.287E-5,-0.011
5.800,2.56530E+1,2.28036E-4,1.007,-0.005,-0.183,1.26437E-2,-6.575E-5,-0.002
5.900,2.56070E+1,2.30336E-4,1.005,-0.005,0.153,1.26240E-2,-6.575E-5,0.002
6.000,2.55810E+1,2.28680E-4,1.005,-0.003,1.174,1.26240E-2,-3.287E-5,0.015
6.100,2.55442E+1,2.28404E-4,1.005,0.086,2.980,1.26240E-2,0.001,0.037
6.200,2.54262E+1,2.29692E-4,1.005,0.607,4.468,1.26240E-2,0.008,0.056
6.300,2.54940E+1,2.26472E-4,1.057,1.173,4.363,1.32749E-2,0.015,0.055
6.400,2.57501E+1,2.22515E-4,1.318,1.592,2.806,1.65493E-2,0.020,0.035
6.500,2.58865E+1,2.14142E-4,1.396,1.720,1.684,1.75355E-2,0.022,0.021
6.600,2.60230E+1,2.12301E-4,1.621,1.744,1.815,2.03562E-2,0.022,0.023
6.700,2.61636E+1,2.23251E-4,1.786,2.032,2.579,2.24273E-2,0.026,0.032
6.800,2.62799E+1,2.27116E-4,1.974,2.369,1.785,2.47943E-2,0.030,0.022
6.900,2.64967E+1,2.24907E-4,2.262,2.642,-1.632,2.84040E-2,0.033,-0.020
7.000,2.68499E+1,2.24447E-4,2.567,2.204,-5.733,3.22306E-2,0.028,-0.072
7.100,2.69721E+1,2.26380E-4,2.779,1.217,-7.492,3.48935E-2,0.015,-0.094
7.200,2.70365E+1,2.33649E-4,2.780,0.353,-5.712,3.49132E-2,0.004,-0.072
7.300,2.69914E+1,2.45151E-4,2.779,-0.003,-2.622,3.48935E-2,-3.288E-5,-0.033
7.400,2.70608E+1,2.30796E-4,2.779,-0.003,-0.580,3.48935E-2,-3.288E-5,-0.007
7.500,2.69512E+1,2.29416E-4,2.779,0.000,0.310,3.48935E-2,0.000,0.004
7.600,2.70684E+1,2.41470E-4,2.779,0.003,1.427,3.48935E-2,3.288E-5,0.018
7.700,2.70131E+1,2.36501E-4,2.779,0.178,3.238,3.48935E-2,0.002,0.041
7.800,2.70751E+1,2.38066E-4,2.780,0.675,4.669,3.49132E-2,0.008,0.059
7.900,2.71320E+1,2.32729E-4,2.884,1.270,4.787,3.62151E-2,0.016,0.060
8.000,2.72056E+1,2.42850E-4,3.079,1.712,3.469,3.86610E-2,0.022,0.044
8.100,2.73831E+1,2.57757E-4,3.242,2.013,1.091,4.07124E-2,0.025,0.014
8.200,2.73379E+1,2.58493E-4,3.449,2.013,-1.793,4.33161E-2,0.025,-0.023
8.300,2.74709E+1,2.63094E-4,3.721,1.623,-3.936,4.67285E-2,0.020,-0.049
8.400,2.73755E+1,2.65946E-4,3.808,1.026,-4.032,4.78134E-2,0.013,-0.051
8.500,2.74073E+1,2.60701E-4,3.858,0.639,-2.583,4.84446E-2,0.008,-0.032
8.600,2.73772E+1,2.57665E-4,3.929,0.579,-1.030,4.93322E-2,0.007,-0.013
8.700,2.71880E+1,2.61989E-4,3.984,0.521,-0.179,5.00226E-2,0.007,-0.002
8.800,2.72299E+1,2.73399E-4,4.029,0.526,0.004,5.05946E-2,0.007,5.479E-5
8.900,2.71328E+1,2.65118E-4,4.070,0.584,-0.380,5.11075E-2,0.007,-0.005
9.000,2.71119E+1,2.68983E-4,4.158,0.518,-1.226,5.22121E-2,0.007,-0.015
9.100,2.70181E+1,2.70823E-4,4.205,0.301,-1.728,5.28038E-2,0.004,-0.022
9.200,2.69729E+1,2.69811E-4,4.205,0.073,-1.392,5.28038E-2,9.205E-4,-0.017
9.300,2.70558E+1,2.74043E-4,4.203,-0.008,-0.650,5.27841E-2,-9.862E-5,-0.008
9.400,2.70583E+1,2.70823E-4,4.203,-0.008,-0.140,5.27841E-2,-9.862E-5,-0.002
9.500,2.70868E+1,2.65946E-4,4.202,-0.008,-0.009,5.27644E-2,-9.862E-5,-1.096E-4
9.600,2.70089E+1,2.68799E-4,4.202,-0.010,-0.777,5.27644E-2,-1.315E-4,-0.010
9.700,2.70893E+1,2.70363E-4,4.200,-0.010,-3.063,5.27446E-2,-1.315E-4,-0.038
9.800,2.70566E+1,2.78920E-4,4.199,-0.471,-5.699,5.27249E-2,-0.006,-0.072
9.900,2.70910E+1,2.79380E-4,4.199,-1.385,-6.100,5.27249E-2,-0.017,-0.077
10.000,2.71311E+1,2.66590E-4,3.921,-2.055,-3.320,4.92336E-2,-0.026,-0.042
10.100,2.72960E+1,2.62726E-4,3.647,-2.087,0.140,4.58014E-2,-0.026,0.002
10.200,2.73102E+1,2.55732E-4,3.517,-1.762,1.815,4.41643E-2,-0.022,0.023
10.300,2.73102E+1,2.45887E-4,3.351,-1.594,1.841,4.20734E-2,-0.020,0.023
10.400,2.72123E+1,2.45427E-4,3.160,-1.458,1.540,3.96867E-2,-0.018,0.019
10.500,2.71755E+1,2.46071E-4,3.047,-1.285,1.658,3.82665E-2,-0.016,0.021
10.600,2.71060E+1,2.41930E-4,2.945,-1.147,2.225,3.69844E-2,-0.014,0.028
10.700,2.70910E+1,2.41470E-4,2.794,-0.911,3.006,3.50908E-2,-0.011,0.038
10.800,2.69286E+1,2.31625E-4,2.725,-0.497,3.198,3.42229E-2,-0.006,0.040
10.900,2.70566E+1,2.44967E-4,2.721,-0.131,2.334,3.41637E-2,-0.002,0.029
11.000,2.69989E+1,2.42390E-4,2.721,-0.008,1.047,3.41637E-2,-9.863E-5,0.013
11.100,2.70039E+1,2.28404E-4,2.721,0.000,0.231,3.41637E-2,0.000,0.003
11.200,2.70307E+1,2.40182E-4,2.721,0.000,0.013,3.41637E-2,0.000,1.644E-4
11.300,2.69997E+1,2.35673E-4,2.721,0.000,0.000,3.41637E-2,0.000,0.000
11.400,2.69085E+1,2.33005E-4,2.721,0.000,0.000,3.41637E-2,0.000,0.000
11.500,2.69478E+1,2.26472E-4,2.721,0.000,-0.301,3.41637E-2,0.000,-0.004
11.600,2.71554E+1,2.31072E-4,2.721,0.000,-0.999,3.41637E-2,0.000,-0.013
11.700,2.70349E+1,2.27668E-4,2.721,-0.181,-1.684,3.41637E-2,-0.002,-0.021
11.800,2.70248E+1,2.25920E-4,2.721,-0.419,-1.758,3.41637E-2,-0.005,-0.022
11.900,2.68934E+1,2.28680E-4,2.612,-0.592,-1.187,3.28027E-2,-0.007,-0.015
12.000,2.69805E+1,2.28404E-4,2.578,-0.644,-0.502,3.23687E-2,-0.008,-0.006
12.100,2.67997E+1,2.27208E-4,2.509,-0.668,0.292,3.15008E-2,-0.008,0.004
12.200,2.67327E+1,2.28404E-4,2.438,-0.644,1.239,3.06132E-2,-0.008,0.016
12.300,2.66917E+1,2.24907E-4,2.351,-0.416,1.933,2.95283E-2,-0.005,0.024
12.400,2.66289E+1,2.20215E-4,2.348,-0.152,1.776,2.94889E-2,-0.002,0.022
12.500,2.66700E+1,2.32545E-4,2.348,-2.220E-15,0.960,2.94889E-2,0.000,0.012
12.600,2.67227E+1,2.25736E-4,2.350,0.005,0.253,2.95086E-2,6.575E-5,0.003
12.700,2.66758E+1,2.26012E-4,2.350,0.003,-0.039,2.95086E-2,3.288E-5,-4.931E-4
12.800,2.67093E+1,2.28956E-4,2.350,-0.003,-0.589,2.95086E-2,-3.288E-5,-0.007
12.900,2.66750E+1,2.26472E-4,2.350,-0.016,-1.841,2.95086E-2,-1.973E-4,-0.023
13.000,2.66080E+1,2.24907E-4,2.348,-0.330,-3.129,2.94889E-2,-0.004,-0.039
13.100,2.66256E+1,2.38986E-4,2.342,-0.775,-3.447,2.94100E-2,-0.010,-0.043
13.200,2.65369E+1,2.26840E-4,2.160,-1.121,-2.683,2.71219E-2,-0.014,-0.034
13.300,2.64431E+1,2.20399E-4,2.073,-1.293,-1.876,2.60370E-2,-0.016,-0.024
13.400,2.63117E+1,2.20859E-4,1.945,-1.422,-1.226,2.44196E-2,-0.018,-0.015
13.500,2.61083E+1,2.15982E-4,1.781,-1.600,-0.205,2.23682E-2,-0.020,-0.003
13.600,2.59920E+1,2.29508E-4,1.599,-1.550,1.043,2.00801E-2,-0.019,0.013
13.700,2.58949E+1,2.29508E-4,1.459,-1.288,1.523,1.83245E-2,-0.016,0.019
13.800,2.58305E+1,2.18927E-4,1.337,-1.107,1.139,1.67860E-2,-0.014,0.014
13.900,2.57610E+1,2.27300E-4,1.271,-1.128,1.165,1.59575E-2,-0.014,0.015
14.000,2.55986E+1,2.17454E-4,1.123,-1.026,2.256,1.41034E-2,-0.013,0.028
14.100,2.56011E+1,2.22515E-4,0.996,-0.670,3.238,1.25057E-2,-0.008,0.041
14.200,2.55392E+1,2.29048E-4,0.996,-0.212,2.827,1.25057E-2,-0.003,0.036
14.300,2.56112E+1,2.32177E-4,0.996,0.000,1.453,1.25057E-2,0.000,0.018
14.400,2.56547E+1,2.27392E-4,0.996,0.000,-0.353,1.25057E-2,0.000,-0.004
14.500,2.55769E+1,2.25368E-4,0.996,-0.010,-2.854,1.25057E-2,-1.315E-4,-0.036
14.600,2.55936E+1,2.27024E-4,0.996,-0.414,-6.493,1.25057E-2,-0.005,-0.082
14.700,2.56162E+1,2.26840E-4,0.990,-1.299,-9.455,1.24268E-2,-0.016,-0.119
14.800,2.55049E+1,2.31349E-4,0.754,-2.608,-8.561,9.46800E-3,-0.033,-0.108
14.900,2.53391E+1,2.29968E-4,0.459,-3.490,-3.779,5.75970E-3,-0.044,-0.047
15.000,2.53140E+1,2.30888E-4,-0.038,-3.359,1.235,-4.73400E-4,-0.042,0.016
15.100,2.53450E+1,2.38894E-4,-0.313,-2.814,3.255,-3.92527E-3,-0.035,0.041
15.200,2.53408E+1,2.48187E-4,-0.490,-2.542,3.683,-6.15420E-3,-0.032,0.046
15.300,2.56363E+1,2.33097E-4,-0.778,-2.354,5.249,-9.76387E-3,-0.030,0.066
15.400,2.57610E+1,2.34017E-4,-1.098,-1.610,7.112,-1.37878E-2,-0.020,0.089
15.500,2.56873E+1,2.37329E-4,-1.117,-0.597,6.558,-1.40245E-2,-0.007,0.082
15.600,2.57099E+1,2.35949E-4,-1.117,-0.031,3.582,-1.40245E-2,-3.945E-4,0.045
15.700,2.58531E+1,2.43310E-4,-1.117,0.003,-0.367,-1.40245E-2,3.288E-5,-0.005
15.800,2.58271E+1,2.38066E-4,-1.117,-0.060,-4.420,-1.40245E-2,-7.561E-4,-0.056
15.900,2.57802E+1,2.41010E-4,-1.115,-0.788,-6.968,-1.40047E-2,-0.010,-0.088
16.000,2.57434E+1,2.51040E-4,-1.155,-1.893,-5.415,-1.44979E-2,-0.024,-0.068
