axial, perp, pos
19.2886,1.69883,-0.0992167
19.333,1.67582,-0.0992167
19.1764,1.70895,-0.0992167
19.3145,1.73563,-0.0992167
19.3263,1.63994,-0.0992167
19.3631,1.74023,-0.0992167
19.3815,1.69331,-0.0992167
19.2961,1.59669,-0.0992167
19.3882,1.73379,-0.0992167
19.302,1.58933,-0.0992167
19.2576,1.7522,-0.0992167
19.3045,1.75404,-0.0992167
19.2945,1.6381,-0.0992167
19.3062,1.64822,-0.099197
19.2928,1.58565,-0.0991773
19.4008,1.57369,-0.0991378
19.3798,1.50007,-0.0978163
19.6619,1.50652,-0.0921749
19.6736,1.65282,-0.0920566
19.6025,1.60589,-0.0917015
19.6711,1.62429,-0.0913465
19.5916,1.53596,-0.0897093
19.6677,1.61233,-0.0893148
19.6284,1.52584,-0.0889597
19.6937,1.65098,-0.088723
19.6912,1.58197,-0.0884469
19.6778,1.62613,-0.0843638
19.7548,1.71815,-0.0837523
19.7699,1.63902,-0.082056
19.7422,1.64822,-0.0795904
19.5782,1.59025,-0.0771642
19.5598,1.60037,-0.0754284
19.4752,1.61049,-0.074383
19.4928,1.56817,-0.0742646
19.6025,1.58657,-0.0742843
19.5439,1.51204,-0.0742843
19.5029,1.63902,-0.0742843
19.4928,1.62153,-0.0742843
19.4995,1.56725,-0.0742843
19.4501,1.55896,-0.0742843
19.5732,1.64914,-0.0742843
19.5137,1.58381,-0.0742843
19.4476,1.57369,-0.0742843
19.4326,1.61601,-0.0742646
19.3882,1.57921,-0.0728839
19.2836,1.64638,-0.0713059
19.2652,1.54792,-0.0696292
19.0015,1.56909,-0.0666902
18.7571,1.56817,-0.0623704
18.4868,1.57185,-0.0594709
18.3872,1.55988,-0.0585043
18.2064,1.49547,-0.0568672
18.1177,1.59945,-0.0562162
17.9896,1.56725,-0.0543621
17.777,1.45039,-0.0524882
17.695,1.44855,-0.0522712
17.6439,1.44947,-0.0510483
17.4656,1.49731,-0.0496084
17.2664,1.54516,-0.0484643
17.0974,1.43658,-0.0467877
16.9325,1.47155,-0.0445785
16.8036,1.45867,-0.0440656
16.8287,1.46603,-0.0440854
16.8245,1.52676,-0.0440854
16.8103,1.43382,-0.0440854
16.7601,1.46235,-0.0440854
16.94,1.48167,-0.0440854
16.7835,1.43842,-0.0440854
16.8279,1.47155,-0.0440854
16.7693,1.56172,-0.0440854
16.8078,1.47983,-0.0440656
16.7651,1.55528,-0.0432175
16.4336,1.40346,-0.0405743
16.0913,1.51848,-0.0372605
15.9256,1.33537,-0.0354064
15.6159,1.34089,-0.0328618
15.3054,1.38138,-0.0293113
15.0284,1.29672,-0.0265498
14.8409,1.26912,-0.0243012
14.7053,1.25532,-0.0226837
14.5588,1.18814,-0.0204351
14.4123,1.27464,-0.0182653
14.193,1.22771,-0.0164309
14.2257,1.31789,-0.0162928
14.2081,1.25163,-0.0162534
14.2374,1.22127,-0.0157997
14.1487,1.34641,-0.0158194
14.1361,1.19551,-0.0158194
14.178,1.20471,-0.0158194
14.1353,1.26636,-0.0158194
