axial, perp, fakepos, pos
29.6873,2.0356,0.03,-0.0509497
29.5827,2.11105,0.03,-0.0509497
29.6161,1.98315,0.03,-0.0509497
29.704,1.94451,0.03,-0.0509497
29.6655,1.95279,0.03,-0.0509497
29.709,2.00616,0.03,-0.0509497
29.6898,2.0402,0.03,-0.0509497
29.6337,2.03468,0.03,-0.0509497
29.6689,2.02732,0.03,-0.0509497
29.7743,2.02088,0.03,-0.0509497
29.6664,1.96659,0.03,-0.0509497
29.6488,1.97303,0.03,-0.0509299
29.6253,1.90034,0.03,-0.0509299
29.7107,1.93254,0.03,-0.0509299
30.0731,2.1359,0.03,-0.0489377
30.1409,2.18835,0.03,-0.0477937
30.2723,2.21319,0.03,-0.0463735
30.2648,2.31072,0.03,-0.045328
30.4213,2.36317,0.03,-0.0439867
30.3778,2.39998,0.03,-0.042823
30.2656,2.36777,0.03,-0.0421918
30.3627,2.38158,0.03,-0.041245
30.2405,2.46899,0.03,-0.0401601
30.11,2.53524,0.03,-0.0391936
29.8731,2.53248,0.03,-0.0372408
29.7651,2.52696,0.03,-0.0365504
29.6161,2.59873,0.03,-0.0354853
29.422,2.52696,0.03,-0.0342229
29.1742,2.49199,0.03,-0.0331972
29.0143,2.56561,0.03,-0.0319545
28.5532,2.62542,0.03,-0.0305343
28.6159,2.68246,0.03,-0.0300017
28.5825,2.66406,0.03,-0.0300214
28.5607,2.6291,0.03,-0.0300214
28.5013,2.58677,0.03,-0.0300214
28.4686,2.56561,0.03,-0.0300214
28.4879,2.54076,0.03,-0.0300214
28.5414,2.55548,0.03,-0.0300214
28.5456,2.6383,0.03,-0.0300017
28.4628,2.56929,0.03,-0.0300017
28.1372,2.64842,0.03,-0.0284434
27.553,2.59413,0.03,-0.0259384
26.8708,2.6245,0.03,-0.023098
26.4381,2.52328,0.03,-0.021658
25.8296,2.36041,0.03,-0.0187979
25.7208,2.40734,0.03,-0.0181667
25.5107,2.37606,0.03,-0.0170227
25.309,2.41654,0.03,-0.015997
25.201,2.51224,0.03,-0.0154447
24.9407,2.3052,0.03,-0.0142217
24.6955,2.25828,0.03,-0.012979
24.6327,2.3963,0.03,-0.0129001
24.549,2.36225,0.03,-0.0125648
24.6126,2.37514,0.03,-0.0125057
24.6043,2.38802,0.03,-0.0124268
24.5147,2.30704,0.03,-0.012407
24.585,2.4009,0.03,-0.0124268
24.606,2.33649,0.03,-0.0124268
24.5842,2.2822,0.03,-0.0124268
24.5984,2.32821,0.03,-0.0124268
24.6118,2.35121,0.03,-0.0124268
24.7089,2.45611,0.03,-0.0124268
24.5658,2.4193,0.03,-0.0124268
24.57,2.32545,0.03,-0.0124268
24.6311,2.39722,0.03,-0.0124268
24.6311,2.42298,0.03,-0.0124268
24.5658,2.38066,0.03,-0.0124268
24.205,2.34845,0.03,-0.0102767
24.0452,2.33373,0.03,-0.0091524
23.9581,2.24355,0.03,-0.00769275
23.7313,2.19019,0.03,-0.0060753
23.5806,2.21043,0.03,-0.00459593
23.3279,2.03744,0.03,-0.0021303
23.2392,2.02916,0.03,0.00067065
23.24,1.97855,0.03,0.00256425
23.1529,1.97671,0.03,0.00501015
23.2718,1.91322,0.03,0.0078111
23.2768,1.87826,0.03,0.0082056
23.3212,1.86813,0.03,0.0082056
23.2643,1.89206,0.03,0.0082056
23.2048,1.9169,0.03,0.00818587
23.2726,1.86169,0.03,0.00818587
23.2492,1.7844,0.03,0.0082056
23.2952,1.84237,0.03,0.00822532
23.4208,1.74759,0.03,0.00974415
23.4484,1.82765,0.03,0.0113024
23.7966,1.80096,0.03,0.0143795
24.2209,1.84145,0.03,0.0167663
24.6185,1.67398,0.03,0.0193502
24.9725,1.7706,0.03,0.0210071
25.4387,1.80556,0.03,0.0242223
26.1309,1.82673,0.03,0.0272599
26.7093,1.7936,0.03,0.0296664
27.4073,1.95003,0.03,0.0319348
27.5664,1.94911,0.03,0.0326843
27.6927,1.87457,0.03,0.0326646
27.6409,1.83409,0.03,0.0326646
27.6375,1.82213,0.03,0.0326843
27.6509,1.83777,0.03,0.0326843
27.6752,1.88378,0.03,0.0326843
27.6342,1.9031,0.03,0.0326843
27.6542,1.89574,0.03,0.0326843
27.5789,1.84605,0.03,0.0326843
27.6727,1.97947,0.03,0.032704
28.1573,1.94635,0.03,0.0343215
28.7398,2.0034,0.03,0.0365307
29.0143,1.97303,0.03,0.038089
29.7559,2.0448,0.03,0.0406335
30.0246,2.12946,0.03,0.0420142
30.5343,2.23711,0.03,0.0436909
30.8649,2.37145,0.03,0.0455845
31.0691,2.4331,0.03,0.0472019
31.2365,2.45611,0.03,0.0483854
31.3889,2.52052,0.03,0.0499831
31.4491,2.74411,0.03,0.0508905
31.5596,2.65578,0.03,0.0514428
31.4709,2.67326,0.03,0.0514428
31.4826,2.71927,0.03,0.0514231
31.5328,2.67878,0.03,0.0514231
31.5429,2.69259,0.03,0.0514231
31.5311,2.66774,0.03,0.0514231
31.5278,2.65854,0.03,0.0514034
31.4834,2.70363,0.03,0.0514034
31.5353,2.56285,0.03,0.0514034
31.5596,2.6521,0.03,0.0514034
31.5822,2.6751,0.03,0.0513836
31.5194,2.57941,0.03,0.0513836
31.5454,2.5518,0.03,0.0513442
30.7528,2.33925,0.03,0.0470047
30.238,2.15338,0.03,0.0430005
30.0564,2.09817,0.03,0.0424087
30.0045,2.12854,0.03,0.0419551
29.5517,1.98223,0.03,0.0400812
29.2763,1.98315,0.03,0.0388977
29.0009,1.91966,0.03,0.0374183
28.5448,1.9031,0.03,0.0358601
28.2862,1.87826,0.03,0.0352289
28.2778,1.88194,0.03,0.0352289
28.3071,1.96659,0.03,0.0352289
28.3079,1.92426,0.03,0.0352289
28.3021,1.88102,0.03,0.0352289
28.4033,1.89758,0.03,0.0352289
28.3263,2.00432,0.03,0.0352289
28.3548,1.95647,0.03,0.0352289
28.3339,1.91966,0.03,0.0352289
27.9053,1.82121,0.03,0.0331183
27.0843,1.77152,0.03,0.0303765
26.9579,1.83961,0.03,0.0295875
26.454,1.79544,0.03,0.0277136
25.92,1.68963,0.03,0.0258397
25.1893,1.79912,0.03,0.022447
24.6051,1.67398,0.03,0.0198039
24.4344,1.80556,0.03,0.0186993
24.3657,1.73839,0.03,0.0183442
24.2293,1.68963,0.03,0.0174566
24.1012,1.65006,0.03,0.0162534
24.0954,1.69239,0.03,0.0159575
24.0443,1.70987,0.03,0.0159181
23.9807,1.71079,0.03,0.0158392
24.0016,1.71355,0.03,0.015563
23.9724,1.69331,0.03,0.015346
23.8962,1.71447,0.03,0.0149318
23.7213,1.72275,0.03,0.0138667
23.6794,1.73655,0.03,0.0136891
23.7807,1.72551,0.03,0.0136891
23.7254,1.69055,0.03,0.0136891
23.7355,1.79452,0.03,0.0136891
23.7313,1.70527,0.03,0.0137089
23.8276,1.81016,0.03,0.0136891
23.7104,1.76508,0.03,0.0133538
23.4292,1.75956,0.03,0.0112827
23.25,1.82029,0.03,0.00775192
23.1446,1.81937,0.03,0.00589778
23.2299,1.96659,0.03,0.0038661
23.1789,1.91138,0.03,0.0029193
23.1672,1.92242,0.03,0.00145965
23.2166,1.96383,0.03,-0.00011835
23.2492,1.92334,0.03,-0.0007101
23.3329,2.01628,0.03,-0.00216975
23.4584,2.01996,0.03,-0.00404362
23.6752,2.09081,0.03,-0.00613447
23.6995,2.17638,0.03,-0.0064698
23.7397,2.14326,0.03,-0.0064698
23.635,2.1497,0.03,-0.0064698
23.697,2.24723,0.03,-0.0064698
23.7556,2.15706,0.03,-0.00645007
23.7187,2.06781,0.03,-0.00645007
23.774,2.17546,0.03,-0.0064698
23.7832,2.15154,0.03,-0.00755467
24.7482,2.33925,0.03,-0.0131171
25.0579,2.3871,0.03,-0.0147937
25.4237,2.36685,0.03,-0.0164704
25.91,2.51132,0.03,-0.0188965
26.1368,2.44507,0.03,-0.0200011
26.4163,2.561,0.03,-0.0212241
27.0759,2.59413,0.03,-0.0240053
27.4308,2.6291,0.03,-0.0252874
27.7664,2.515,0.03,-0.0264512
