Frequency (Hz)	Level (dB)
5.383301	-25.124477
10.766602	-27.372974
16.149902	-33.465855
21.533203	-38.337322
26.916504	-47.160328
32.299805	-51.912594
37.683105	-52.360439
43.066406	-48.741165
48.449707	-47.878075
53.833008	-50.940353
59.216309	-54.215527
64.599609	-56.614723
69.982910	-54.970154
75.366211	-54.953262
80.749512	-57.167034
86.132812	-60.200317
91.516113	-63.360832
96.899414	-64.505928
102.282715	-64.815331
107.666016	-64.647644
113.049316	-61.915470
118.432617	-56.490662
123.815918	-58.679939
129.199219	-63.812111
134.582520	-60.771458
139.965820	-60.733330
145.349121	-62.818184
150.732422	-60.843758
156.115723	-62.786594
161.499023	-67.012985
166.882324	-67.368317
172.265625	-65.889526
177.648926	-63.926605
183.032227	-61.147434
188.415527	-59.924328
193.798828	-61.178574
199.182129	-62.185997
204.565430	-63.968876
209.948730	-65.154587
215.332031	-59.450394
220.715332	-56.383606
226.098633	-57.175907
231.481934	-59.846821
236.865234	-60.063786
242.248535	-59.162170
247.631836	-61.062012
253.015137	-61.882565
258.398438	-60.881355
263.781738	-60.638329
269.165039	-61.419262
274.548340	-61.446484
279.931641	-59.937546
285.314941	-58.402885
290.698242	-58.015156
296.081543	-54.929180
301.464844	-50.170788
306.848145	-53.074886
312.231445	-54.360043
317.614746	-53.096245
322.998047	-52.810478
328.381348	-50.447819
333.764648	-48.654011
339.147949	-48.701855
344.531250	-52.422791
349.914551	-51.935780
355.297852	-45.717304
360.681152	-47.569649
366.064453	-55.937836
371.447754	-55.822220
376.831055	-54.742851
382.214355	-53.190495
387.597656	-53.717552
392.980957	-54.027599
398.364258	-53.896366
403.747559	-52.960690
409.130859	-50.467400
414.514160	-49.016579
419.897461	-48.723904
425.280762	-47.773109
430.664062	-46.463654
436.047363	-45.803185
441.430664	-46.787922
446.813965	-48.609806
452.197266	-48.605839
457.580566	-48.315472
462.963867	-49.296078
468.347168	-48.941170
473.730469	-49.776527
479.113770	-51.114708
484.497070	-52.588558
489.880371	-53.635918
495.263672	-53.457279
500.646973	-54.065430
506.030273	-53.815403
511.413574	-54.785915
516.796875	-54.164394
522.180176	-54.536114
527.563477	-53.765923
532.946777	-55.061214
538.330078	-58.176552
543.713379	-55.232090
549.096680	-54.633633
554.479980	-54.529339
559.863281	-56.459526
565.246582	-58.123714
570.629883	-57.914791
576.013184	-57.042919
581.396484	-56.700260
586.779785	-57.155087
592.163086	-58.496899
597.546387	-58.992043
602.929688	-59.582764
608.312988	-58.015438
613.696289	-57.302830
619.079590	-58.595520
624.462891	-58.015106
629.846191	-57.389660
635.229492	-59.721176
640.612793	-59.662464
645.996094	-58.838642
651.379395	-58.561153
656.762695	-57.563335
662.145996	-57.616665
667.529297	-61.143333
672.912598	-61.567078
678.295898	-59.974289
683.679199	-59.755451
689.062500	-61.121811
694.445801	-60.302204
699.829102	-59.026009
705.212402	-57.883385
710.595703	-60.001835
715.979004	-61.709534
721.362305	-61.631134
726.745605	-61.967857
732.128906	-62.981304
737.512207	-60.498493
742.895508	-60.889805
748.278809	-60.880108
753.662109	-59.726494
759.045410	-59.604046
764.428711	-62.614819
769.812012	-61.595291
775.195312	-59.836857
780.578613	-60.366661
785.961914	-60.346062
791.345215	-59.632561
796.728516	-61.065311
802.111816	-61.901588
807.495117	-61.059010
812.878418	-60.046314
818.261719	-60.139065
823.645020	-59.943874
829.028320	-60.492043
834.411621	-61.941406
839.794922	-60.933258
845.178223	-63.252174
850.561523	-63.200668
855.944824	-62.653477
861.328125	-63.190197
866.711426	-59.902306
872.094727	-59.151531
877.478027	-61.679623
882.861328	-63.082142
888.244629	-63.150955
893.627930	-62.936714
899.011230	-61.921986
904.394531	-62.874149
909.777832	-63.262241
915.161133	-62.786144
920.544434	-62.456398
925.927734	-60.889473
931.311035	-60.903355
936.694336	-62.926918
942.077637	-61.672489
947.460938	-60.718880
952.844238	-60.984314
958.227539	-62.252487
963.610840	-62.029140
968.994141	-63.671181
974.377441	-65.852043
979.760742	-61.653294
985.144043	-59.898930
990.527344	-64.737656
995.910645	-65.908844
1001.293945	-63.518036
1006.677246	-63.279068
1012.060547	-63.516621
1017.443848	-62.534824
1022.827148	-63.815395
1028.210449	-63.852287
1033.593750	-62.453758
1038.977051	-62.542747
1044.360352	-64.025185
1049.743652	-63.959213
1055.126953	-63.280094
1060.510254	-61.150547
1065.893555	-61.186146
1071.276855	-62.534344
1076.660156	-59.632252
1082.043457	-59.565987
1087.426758	-62.662621
1092.810059	-62.515343
1098.193359	-62.455612
1103.576660	-62.164898
1108.959961	-62.580257
1114.343262	-64.222816
1119.726562	-63.930023
1125.109863	-63.622982
1130.493164	-64.267967
1135.876465	-64.531723
1141.259766	-63.595856
1146.643066	-63.094547
1152.026367	-62.665768
1157.409668	-61.501629
1162.792969	-63.441429
1168.176270	-62.046261
1173.559570	-60.169479
1178.942871	-59.967533
1184.326172	-61.586437
1189.709473	-59.892666
1195.092773	-61.315933
1200.476074	-63.380714
1205.859375	-60.402248
1211.242676	-60.318714
1216.625977	-61.443588
1222.009277	-59.433552
1227.392578	-60.368343
1232.775879	-60.372185
1238.159180	-60.253807
1243.542480	-60.641865
1248.925781	-61.765869
1254.309082	-61.002117
1259.692383	-59.543541
1265.075684	-62.884903
1270.458984	-61.410732
1275.842285	-59.342651
1281.225586	-58.724487
1286.608887	-58.997814
1291.992188	-62.677223
1297.375488	-61.970840
1302.758789	-63.577484
1308.142090	-62.289993
1313.525391	-60.294434
1318.908691	-62.566029
1324.291992	-64.783173
1329.675293	-62.042999
1335.058594	-62.034916
1340.441895	-62.216309
1345.825195	-60.741203
1351.208496	-59.365314
1356.591797	-59.299744
1361.975098	-60.080585
1367.358398	-61.269474
1372.741699	-59.318096
1378.125000	-58.467346
1383.508301	-58.340752
1388.891602	-58.535507
1394.274902	-60.940758
1399.658203	-59.885956
1405.041504	-61.406860
1410.424805	-59.734104
1415.808105	-58.421455
1421.191406	-59.824898
1426.574707	-60.416603
1431.958008	-59.632874
1437.341309	-60.300247
1442.724609	-61.425766
1448.107910	-62.328110
1453.491211	-59.731216
1458.874512	-60.258945
1464.257812	-61.289417
1469.641113	-61.565769
1475.024414	-61.260818
1480.407715	-62.458111
1485.791016	-63.551968
1491.174316	-61.770771
1496.557617	-60.245934
1501.940918	-60.004295
1507.324219	-60.479084
1512.707520	-60.755337
1518.090820	-61.677380
1523.474121	-59.099899
1528.857422	-59.848518
1534.240723	-60.746136
1539.624023	-60.475750
1545.007324	-59.882450
1550.390625	-61.453030
1555.773926	-59.905804
1561.157227	-59.760307
1566.540527	-59.159416
1571.923828	-60.849033
1577.307129	-62.634228
1582.690430	-62.268238
1588.073730	-60.542202
1593.457031	-58.789684
1598.840332	-58.735924
1604.223633	-59.214092
1609.606934	-58.619377
1614.990234	-60.972252
1620.373535	-60.221539
1625.756836	-58.543518
1631.140137	-59.603870
1636.523438	-58.849792
1641.906738	-58.516033
1647.290039	-58.929474
1652.673340	-56.543354
1658.056641	-57.073822
1663.439941	-58.244198
1668.823242	-59.081028
1674.206543	-59.643860
1679.589844	-59.521481
1684.973145	-59.549595
1690.356445	-59.380230
1695.739746	-58.778900
1701.123047	-58.679325
1706.506348	-58.481800
1711.889648	-58.903706
1717.272949	-58.929184
1722.656250	-58.164703
1728.039551	-59.539944
1733.422852	-59.059017
1738.806152	-58.370205
1744.189453	-56.387688
1749.572754	-56.801697
1754.956055	-57.593174
1760.339355	-56.714844
1765.722656	-57.972393
1771.105957	-59.357334
1776.489258	-56.393921
1781.872559	-56.744392
1787.255859	-57.127926
1792.639160	-56.830635
1798.022461	-57.162712
1803.405762	-56.897255
1808.789062	-57.241417
1814.172363	-55.450111
1819.555664	-54.738907
1824.938965	-54.566349
1830.322266	-55.543316
1835.705566	-56.063446
1841.088867	-55.697227
1846.472168	-54.692055
1851.855469	-52.783726
1857.238770	-53.739006
1862.622070	-53.551403
1868.005371	-55.678608
1873.388672	-54.516697
1878.771973	-53.805374
1884.155273	-53.222145
1889.538574	-53.963951
1894.921875	-55.716137
1900.305176	-55.103680
1905.688477	-55.444695
1911.071777	-55.390167
1916.455078	-56.034760
1921.838379	-54.662254
1927.221680	-54.759758
1932.604980	-53.316441
1937.988281	-52.530155
1943.371582	-53.218506
1948.754883	-54.813274
1954.138184	-53.876160
1959.521484	-53.697613
1964.904785	-54.047344
1970.288086	-55.323784
1975.671387	-53.099937
1981.054688	-51.815144
1986.437988	-54.687614
1991.821289	-56.058838
1997.204590	-57.143257
2002.587891	-54.485916
2007.971191	-53.926144
2013.354492	-55.541710
2018.737793	-55.085655
2024.121094	-53.558475
2029.504395	-51.866379
2034.887695	-51.264763
2040.270996	-52.079174
2045.654297	-52.945118
2051.037598	-52.140804
2056.420898	-49.770264
2061.804199	-50.920406
2067.187500	-51.941586
2072.570801	-50.662025
2077.954102	-49.999100
2083.337402	-50.843403
2088.720703	-52.218098
2094.104004	-53.062290
2099.487305	-50.583115
2104.870605	-49.840797
2110.253906	-52.190086
2115.637207	-52.692013
2121.020508	-52.483585
2126.403809	-50.807220
2131.787109	-52.477081
2137.170410	-52.588745
2142.553711	-52.325001
2147.937012	-52.226189
2153.320312	-52.092541
2158.703613	-50.833233
2164.086914	-51.417847
2169.470215	-52.427979
2174.853516	-51.617970
2180.236816	-52.637104
2185.620117	-53.179050
2191.003418	-50.791611
2196.386719	-50.073074
2201.770020	-51.631573
2207.153320	-52.698486
2212.536621	-52.474831
2217.919922	-51.955021
2223.303223	-52.001095
2228.686523	-51.308418
2234.069824	-49.981907
2239.453125	-49.602299
2244.836426	-51.508484
2250.219727	-49.375069
2255.603027	-49.996475
2260.986328	-51.834923
2266.369629	-51.699913
2271.752930	-48.803886
2277.136230	-49.068836
2282.519531	-48.742924
2287.902832	-49.352013
2293.286133	-51.246117
2298.669434	-51.059139
2304.052734	-50.571613
2309.436035	-50.424755
2314.819336	-51.148182
2320.202637	-48.175709
2325.585938	-48.608494
2330.969238	-49.076881
2336.352539	-50.585205
2341.735840	-52.148613
2347.119141	-49.080685
2352.502441	-48.908051
2357.885742	-51.772224
2363.269043	-49.752995
2368.652344	-47.315163
2374.035645	-47.732586
2379.418945	-48.459099
2384.802246	-49.004921
2390.185547	-50.497128
2395.568848	-49.784653
2400.952148	-48.146652
2406.335449	-46.425774
2411.718750	-48.899315
2417.102051	-50.666569
2422.485352	-48.732971
2427.868652	-48.665432
2433.251953	-48.674072
2438.635254	-47.726921
2444.018555	-49.223927
2449.401855	-50.540791
2454.785156	-50.353901
2460.168457	-51.466766
2465.551758	-51.740810
2470.935059	-50.042412
2476.318359	-50.070213
2481.701660	-49.945961
2487.084961	-51.038166
2492.468262	-50.697372
2497.851562	-51.389446
2503.234863	-51.974243
2508.618164	-50.087822
2514.001465	-49.807140
2519.384766	-48.743660
2524.768066	-49.679649
2530.151367	-52.334606
2535.534668	-53.271034
2540.917969	-52.020119
2546.301270	-51.252842
2551.684570	-50.899761
2557.067871	-51.924702
2562.451172	-52.302101
2567.834473	-51.403679
2573.217773	-53.294136
2578.601074	-54.543682
2583.984375	-54.955738
2589.367676	-53.425495
2594.750977	-52.360847
2600.134277	-53.882465
2605.517578	-51.889687
2610.900879	-54.492138
2616.284180	-55.550735
2621.667480	-55.247135
2627.050781	-54.458130
2632.434082	-53.130524
2637.817383	-55.184654
2643.200684	-52.541157
2648.583984	-51.496052
2653.967285	-52.450687
2659.350586	-52.802475
2664.733887	-54.602512
2670.117188	-53.771809
2675.500488	-52.919952
2680.883789	-53.463673
2686.267090	-55.143593
2691.650391	-53.354053
2697.033691	-53.587826
2702.416992	-55.838497
2707.800293	-56.391586
2713.183594	-56.681164
2718.566895	-55.216644
2723.950195	-54.645832
2729.333496	-56.075817
2734.716797	-57.559998
2740.100098	-55.223137
2745.483398	-56.496235
2750.866699	-54.684830
2756.250000	-53.751945
2761.633301	-54.673100
2767.016602	-54.090935
2772.399902	-55.817272
2777.783203	-56.999458
2783.166504	-56.551147
2788.549805	-54.742714
2793.933105	-51.459007
2799.316406	-50.844578
2804.699707	-52.752205
2810.083008	-55.886177
2815.466309	-55.647633
2820.849609	-57.205357
2826.232910	-58.017662
2831.616211	-57.405766
2836.999512	-56.371674
2842.382812	-54.222916
2847.766113	-53.244476
2853.149414	-53.606930
2858.532715	-53.456310
2863.916016	-52.636066
2869.299316	-53.863762
2874.682617	-55.174843
2880.065918	-56.121243
2885.449219	-56.634373
2890.832520	-55.662983
2896.215820	-55.889606
2901.599121	-55.036655
2906.982422	-55.274136
2912.365723	-54.415035
2917.749023	-53.615803
2923.132324	-53.120026
2928.515625	-53.920868
2933.898926	-53.765457
2939.282227	-51.614441
2944.665527	-50.452057
2950.048828	-49.024700
2955.432129	-49.733963
2960.815430	-52.032162
2966.198730	-51.579559
2971.582031	-49.928661
2976.965332	-51.387520
2982.348633	-52.543285
2987.731934	-50.125843
2993.115234	-50.289379
2998.498535	-52.635967
3003.881836	-53.233875
3009.265137	-50.435146
3014.648438	-51.721104
3020.031738	-52.407467
3025.415039	-54.915825
3030.798340	-54.949120
3036.181641	-54.623997
3041.564941	-53.581757
3046.948242	-53.432060
3052.331543	-53.905708
3057.714844	-52.840454
3063.098145	-52.686596
3068.481445	-52.744194
3073.864746	-54.699879
3079.248047	-54.313168
3084.631348	-54.079262
3090.014648	-55.342293
3095.397949	-56.445694
3100.781250	-56.037766
3106.164551	-54.291405
3111.547852	-54.110001
3116.931152	-56.706482
3122.314453	-57.147743
3127.697754	-56.148270
3133.081055	-58.463749
3138.464355	-59.091133
3143.847656	-56.791958
3149.230957	-56.807106
3154.614258	-57.258598
3159.997559	-57.568226
3165.380859	-57.698704
3170.764160	-56.892155
3176.147461	-57.082394
3181.530762	-56.640911
3186.914062	-54.509777
3192.297363	-55.133507
3197.680664	-57.410244
3203.063965	-57.166199
3208.447266	-55.180840
3213.830566	-55.686874
3219.213867	-56.987778
3224.597168	-57.853081
3229.980469	-58.482231
3235.363770	-56.255810
3240.747070	-55.117371
3246.130371	-54.931126
3251.513672	-56.456871
3256.896973	-57.673912
3262.280273	-57.126369
3267.663574	-55.778233
3273.046875	-55.098347
3278.430176	-55.301708
3283.813477	-56.685074
3289.196777	-55.172649
3294.580078	-53.357529
3299.963379	-51.849316
3305.346680	-51.020733
3310.729980	-51.828209
3316.113281	-51.571739
3321.496582	-50.390488
3326.879883	-49.949108
3332.263184	-51.312866
3337.646484	-52.893623
3343.029785	-53.980350
3348.413086	-53.171272
3353.796387	-54.144806
3359.179688	-54.140396
3364.562988	-51.945694
3369.946289	-50.350864
3375.329590	-50.019962
3380.712891	-51.476479
3386.096191	-52.964603
3391.479492	-52.613308
3396.862793	-53.148567
3402.246094	-54.886982
3407.629395	-54.150322
3413.012695	-52.222092
3418.395996	-53.037033
3423.779297	-54.677387
3429.162598	-53.703320
3434.545898	-55.924656
3439.929199	-56.683292
3445.312500	-55.589085
3450.695801	-56.612316
3456.079102	-55.310165
3461.462402	-56.681690
3466.845703	-57.237278
3472.229004	-57.563274
3477.612305	-56.925919
3482.995605	-56.783108
3488.378906	-56.413204
3493.762207	-56.689560
3499.145508	-56.603416
3504.528809	-55.883160
3509.912109	-57.958504
3515.295410	-56.482914
3520.678711	-56.804478
