Frequency (Hz)	Level (dB)
5.383301	-64.459702
10.766602	-62.065434
16.149902	-62.064690
21.533203	-63.853241
26.916504	-62.364540
32.299805	-63.096317
37.683105	-64.432846
43.066406	-62.387459
48.449707	-62.233261
53.833008	-62.578358
59.216309	-62.246082
64.599609	-63.879120
69.982910	-63.963257
75.366211	-64.187653
80.749512	-61.976292
86.132812	-62.343349
91.516113	-62.636826
96.899414	-62.015217
102.282715	-62.436852
107.666016	-61.783577
113.049316	-62.321606
118.432617	-61.499409
123.815918	-62.268280
129.199219	-62.546627
134.582520	-63.060074
139.965820	-65.599907
145.349121	-64.191795
150.732422	-63.417843
156.115723	-63.672253
161.499023	-62.009148
166.882324	-61.168449
172.265625	-62.366840
177.648926	-62.380001
183.032227	-63.255764
188.415527	-63.823048
193.798828	-63.401970
199.182129	-62.439445
204.565430	-63.262508
209.948730	-63.463562
215.332031	-64.641129
220.715332	-62.904915
226.098633	-61.680931
231.481934	-63.477238
236.865234	-64.320969
242.248535	-63.438099
247.631836	-63.271297
253.015137	-60.104500
258.398438	-59.679176
263.781738	-61.950798
269.165039	-63.379147
274.548340	-65.784500
279.931641	-65.706764
285.314941	-63.684509
290.698242	-64.875824
296.081543	-66.902184
301.464844	-62.477123
306.848145	-61.082668
312.231445	-64.402687
317.614746	-65.675934
322.998047	-65.437538
328.381348	-65.948578
333.764648	-63.660767
339.147949	-63.649372
344.531250	-63.001862
349.914551	-62.726631
355.297852	-64.224060
360.681152	-63.863785
366.064453	-63.644814
371.447754	-63.812279
376.831055	-63.500206
382.214355	-62.094891
387.597656	-62.852482
392.980957	-63.247341
398.364258	-63.645920
403.747559	-64.454674
409.130859	-63.262569
414.514160	-62.499809
419.897461	-62.950298
425.280762	-62.777355
430.664062	-62.117966
436.047363	-61.871876
441.430664	-62.988903
446.813965	-64.778870
452.197266	-64.100090
457.580566	-63.222649
462.963867	-63.402340
468.347168	-62.120655
473.730469	-62.381058
479.113770	-62.833542
484.497070	-63.565300
489.880371	-64.822914
495.263672	-63.374977
500.646973	-63.374989
506.030273	-62.813644
511.413574	-63.512569
516.796875	-62.535114
522.180176	-62.356110
527.563477	-60.938889
532.946777	-62.103851
538.330078	-64.547440
543.713379	-61.050648
549.096680	-60.586330
554.479980	-60.354668
559.863281	-62.118229
565.246582	-63.611233
570.629883	-63.363651
576.013184	-62.695740
581.396484	-62.143593
586.779785	-62.210449
592.163086	-63.506336
597.546387	-63.908478
602.929688	-64.831871
608.312988	-62.904816
613.696289	-62.072704
619.079590	-63.490948
624.462891	-62.982998
629.846191	-62.373100
635.229492	-64.645180
640.612793	-64.493759
645.996094	-63.569836
651.379395	-63.305634
656.762695	-62.281860
662.145996	-62.022549
667.529297	-65.245934
672.912598	-65.506683
678.295898	-63.798840
683.679199	-63.511753
689.062500	-64.810188
694.445801	-63.911068
699.829102	-62.501553
705.212402	-61.203957
710.595703	-63.280952
715.979004	-64.634109
721.362305	-64.275543
726.745605	-64.644669
732.128906	-65.649864
737.512207	-62.786591
742.895508	-63.069401
748.278809	-63.137733
753.662109	-62.104343
759.045410	-61.854191
764.428711	-64.676147
769.812012	-63.594818
775.195312	-61.942039
780.578613	-62.419102
785.961914	-62.370567
791.345215	-61.741341
796.728516	-62.978176
802.111816	-63.392361
807.495117	-62.439320
812.878418	-61.262184
818.261719	-61.605473
823.645020	-61.185474
829.028320	-61.542610
834.411621	-62.726311
