Frequency (Hz),Correction Factor (dB)
5.383301,-39.335225
10.766602,-34.69246
16.149902,-28.598835
21.533203,-25.515919
26.916504,-15.204212
32.299805,-11.183723
37.683105,-12.072407
43.066406,-13.646294
48.449707,-14.355186
53.833008,-11.638005
59.216309,-8.030555
64.599609,-7.264397
69.98291,-8.993103
75.366211,-9.234391
80.749512,-4.809258
86.132812,-2.14303200000001
91.516113,0.724006000000003
96.899414,2.490711
102.282715,2.378479
107.666016,2.864067
113.049316,-0.406136000000004
118.432617,-5.008747
123.815918,-3.588341
129.199219,1.265484
134.58252,-2.288616
139.96582,-4.866577
145.349121,-1.373611
150.732422,-2.574085
156.115723,-0.885658999999997
161.499023,5.003837
166.882324,6.199868
172.265625,3.522686
177.648926,1.546604
183.032227,-2.10833
188.415527,-3.89872
193.798828,-2.223396
199.182129,-0.253447999999999
204.56543,0.706368000000005
209.94873,1.691025
215.332031,-5.190735
220.715332,-6.521309
226.098633,-4.505024
231.481934,-3.630417
236.865234,-4.25718300000001
242.248535,-4.275929
247.631836,-2.20928499999999
253.015137,1.778065
258.398438,1.202179
263.781738,-1.312469
269.165039,-1.959885
274.54834,-4.338016
279.931641,-5.76921800000001
285.314941,-5.281624
290.698242,-6.860668
296.081543,-11.973004
301.464844,-12.306335
306.848145,-8.007782
312.231445,-10.042644
317.614746,-12.579689
322.998047,-12.62706
328.381348,-15.500759
333.764648,-15.006756
339.147949,-14.947517
344.53125,-10.579071
349.914551,-10.790851
355.297852,-18.506756
360.681152,-16.294136
366.064453,-7.706978
371.447754,-7.990059
376.831055,-8.757355
382.214355,-8.904396
387.597656,-9.13493
392.980957,-9.219742
398.364258,-9.749554
403.747559,-11.493984
409.130859,-12.795169
414.51416,-13.48323
419.897461,-14.226394
425.280762,-15.004246
430.664062,-15.654312
436.047363,-16.068691
441.430664,-16.200981
446.813965,-16.169064
452.197266,-15.494251
457.580566,-14.907177
462.963867,-14.106262
468.347168,-13.179485
473.730469,-12.604531
479.11377,-11.718834
484.49707,-10.976742
489.880371,-11.186996
495.263672,-9.917698
500.646973,-9.309559
506.030273,-8.99824099999999
511.413574,-8.726654
516.796875,-8.37072
522.180176,-7.819996
527.563477,-7.172966
532.946777,-7.042637
538.330078,-6.37088799999999
543.713379,-5.818558
549.09668,-5.95269699999999
554.47998,-5.825329
559.863281,-5.658703
565.246582,-5.487519
570.629883,-5.44886
576.013184,-5.652821
581.396484,-5.443333
586.779785,-5.055362
592.163086,-5.009437
597.546387,-4.916435
602.929688,-5.24910700000001
608.312988,-4.88937799999999
613.696289,-4.769874
619.07959,-4.895428
624.462891,-4.967892
629.846191,-4.98344
635.229492,-4.924004
640.612793,-4.831295
645.996094,-4.731194
651.379395,-4.744481
656.762695,-4.718525
662.145996,-4.405884
667.529297,-4.10260100000001
672.912598,-3.93960499999999
678.295898,-3.824551
683.679199,-3.756302
689.0625,-3.688377
694.445801,-3.608864
699.829102,-3.475544
705.212402,-3.32057200000001
710.595703,-3.279117
715.979004,-2.924575
721.362305,-2.644409
726.745605,-2.67681199999999
732.128906,-2.66855999999999
737.512207,-2.288098
742.895508,-2.179596
748.278809,-2.257625
753.662109,-2.377849
759.04541,-2.250145
764.428711,-2.061328
769.812012,-1.99952699999999
775.195312,-2.105182
780.578613,-2.052441
785.961914,-2.024505
791.345215,-2.10878
796.728516,-1.912865
802.111816,-1.490773
807.495117,-1.38031
812.878418,-1.21587
818.261719,-1.466408
823.64502,-1.2416
829.02832,-1.050567
834.411621,-0.784905000000002
839.794922,-0.768527999999996
845.178223,-0.645291
850.561523,-0.549916000000003
855.944824,-0.566803
861.328125,-0.328514000000006
866.711426,-0.454604999999994
872.094727,-0.357109000000001
877.478027,-0.217238999999999
882.861328,-0.0371319999999997
888.244629,-0.0596159999999983
893.62793,-0.450240999999998
899.01123,-0.278919000000002
904.394531,-0.130226
909.777832,0.0365750000000062
915.161133,0.074936000000001
920.544434,0.155822999999998
925.927734,0.069225000000003
931.311035,-0.171379000000002
936.694336,-0.160736
942.077637,0.152695000000001
947.460938,0.183822999999997
952.844238,-0.0121690000000001
958.227539,-0.245700999999997
963.61084,-0.215592000000001
968.994141,-0.134369
974.377441,-0.0478750000000048
979.760742,0.0735360000000043
985.144043,-0.0551140000000032
990.527344,0.0223239999999976
995.910645,0.0769650000000013
1001.293945,0.0618440000000007
1006.677246,0.0892940000000024
1012.060547,0.150292
1017.443848,0.166716999999998
1022.827148,0.0530010000000019
1028.210449,0.0238339999999937
1033.59375,0.0593760000000003
1038.977051,0.357275999999999
1044.360352,0.111583999999993
1049.743652,-0.103989000000006
1055.126953,-0.193066000000002
1060.510254,-0.711162999999999
1065.893555,-0.612189999999998
1071.276855,-0.101997000000004
1076.660156,0.00684400000000096
1082.043457,-0.205539000000002
1087.426758,-0.0286749999999998
1092.810059,0.116607999999999
1098.193359,0.0765990000000016
1103.57666,-0.0069429999999997
1108.959961,0.147052000000002
1114.343262,0.573996999999991
1119.726562,0.610160999999998
1125.109863,0.302292000000001
1130.493164,-0.0917280000000034
1135.876465,-0.741057999999995
1141.259766,-1.132316
1146.643066,-1.06033
1152.026367,-0.757182999999998
1157.409668,-0.688381
1162.792969,-0.592658999999998
1168.17627,-1.130764
1173.55957,-1.415772
1178.942871,-1.490723
1184.326172,-1.284249
1189.709473,-1.257995
1195.092773,-1.340588
1200.476074,-1.156502
1205.859375,-1.30206
1211.242676,-1.546307
1216.625977,-1.42717800000001
1222.009277,-1.524307
1227.392578,-1.706574
1232.775879,-2.091182
1238.15918,-1.931469
1243.54248,-1.826538
1248.925781,-1.802944
1254.309082,-1.839939
1259.692383,-2.226116
1265.075684,-2.10003699999999
1270.458984,-2.43915999999999
1275.842285,-2.36761900000001
1281.225586,-2.097012
1286.608887,-2.303902
1291.992188,-1.815834
1297.375488,-1.461579
1302.758789,-1.667404
1308.14209,-1.917939
1313.525391,-1.97005799999999
1318.908691,-1.620777
1324.291992,-1.68729399999999
1329.675293,-1.84137
1335.058594,-1.830643
1340.441895,-1.708519
1345.825195,-1.950886
1351.208496,-2.33833
1356.591797,-2.379989
1361.975098,-2.387646
1367.358398,-2.286877
1372.741699,-2.308697
1378.125,-2.461613
1383.508301,-2.913417
1388.891602,-3.14192199999999
1394.274902,-2.859966
1399.658203,-2.909546
1405.041504,-2.585976
1410.424805,-2.920765
1415.808105,-3.074486
1421.191406,-2.95235
1426.574707,-2.635563
1431.958008,-2.521709
1437.341309,-2.597508
1442.724609,-2.396873
1448.10791,-2.38391099999999
1453.491211,-2.534581
1458.874512,-2.561112
1464.257812,-2.609494
1469.641113,-2.738316
1475.024414,-2.710732
1480.407715,-2.58098199999999
1485.791016,-2.60418299999999
1491.174316,-2.93180499999999
1496.557617,-2.928398
1501.940918,-2.807885
1507.324219,-2.791813
1512.70752,-2.84487100000001
1518.09082,-2.992458
1523.474121,-3.39991
1528.857422,-3.47395
1534.240723,-3.508678
1539.624023,-3.245789
1545.007324,-3.308586
1550.390625,-3.36167500000001
1555.773926,-3.483886
1561.157227,-3.570988
1566.540527,-3.480709
1571.923828,-3.40591800000001
1577.307129,-3.485897
1582.69043,-3.695103
1588.07373,-3.728588
1593.457031,-3.704846
1598.840332,-3.78152100000001
1604.223633,-3.887497
1609.606934,-3.81316
1614.990234,-3.741829
1620.373535,-4.143497
1625.756836,-4.127518
1631.140137,-3.847901
1636.523438,-3.982079
1641.906738,-3.837933
1647.290039,-3.768337
1652.67334,-4.034599
1658.056641,-4.453239
1663.439941,-4.797462
1668.823242,-4.707569
1674.206543,-4.473633
1679.589844,-4.494266
1684.973145,-4.76778800000001
1690.356445,-4.680103
1695.739746,-4.793739
1701.123047,-4.936066
1706.506348,-4.924519
1711.889648,-4.88618
1717.272949,-4.950336
1722.65625,-5.08593
1728.039551,-5.13898100000001
1733.422852,-5.17097100000001
1738.806152,-5.186859
1744.189453,-5.68369600000001
1749.572754,-5.783344
1754.956055,-5.87582800000001
1760.339355,-6.056137
1765.722656,-5.86916400000001
1771.105957,-6.04836699999999
1776.489258,-6.255215
1781.872559,-6.33636900000001
1787.255859,-6.487919
1792.63916,-6.716881
1798.022461,-6.987
1803.405762,-7.13784
1808.789062,-6.84479500000001
1814.172363,-7.096344
1819.555664,-7.278503
1824.938965,-7.396542
1830.322266,-7.500126
1835.705566,-7.909523
1841.088867,-8.03938700000001
1846.472168,-7.924186
1851.855469,-7.918228
1857.23877,-8.203636
1862.62207,-8.383205
1868.005371,-8.40034900000001
1873.388672,-8.630321
1878.771973,-8.796642
1884.155273,-8.973438
1889.538574,-9.080162
1894.921875,-9.140034
1900.305176,-9.169071
1905.688477,-8.87284
1911.071777,-9.008217
1916.455078,-9.383155
1921.838379,-9.414551
1927.22168,-9.525253
1932.60498,-9.485786
1937.988281,-9.584042
1943.371582,-9.867378
1948.754883,-9.738598
1954.138184,-9.672313
1959.521484,-10.057506
1964.904785,-10.209606
1970.288086,-10.286941
1975.671387,-10.208863
1981.054688,-10.258995
1986.437988,-10.161873
1991.821289,-9.834122
1997.20459,-9.920548
2002.587891,-10.348473
2007.971191,-10.568355
2013.354492,-10.75338
2018.737793,-10.953324
2024.121094,-10.949254
2029.504395,-10.897732
2034.887695,-10.800049
2040.270996,-10.843308
2045.654297,-11.085674
2051.037598,-11.237244
2056.420898,-11.09692
2061.804199,-10.939888
2067.1875,-10.954338
2072.570801,-10.907696
2077.954102,-11.026729
2083.337402,-11.264046
2088.720703,-11.389007
2094.104004,-11.023945
2099.487305,-11.228511
2104.870605,-11.340199
2110.253906,-10.973122
2115.637207,-10.86504
2121.020508,-11.17857
2126.403809,-11.586575
2131.787109,-11.726692
2137.17041,-11.693833
2142.553711,-11.853573
2147.937012,-12.021057
2153.320312,-11.905899
2158.703613,-12.149765
2164.086914,-12.106102
2169.470215,-12.059516
2174.853516,-12.157897
2180.236816,-12.224705
2185.620117,-12.399838
2191.003418,-12.832489
2196.386719,-12.711483
2201.77002,-12.566181
2207.15332,-12.65374
2212.536621,-12.564293
2217.919922,-12.587337
2223.303223,-12.638347
2228.686523,-12.743813
2234.069824,-12.932823
2239.453125,-13.037269
2244.836426,-13.32103
2250.219727,-13.557697
2255.603027,-13.503723
2260.986328,-13.312767
2266.369629,-13.279327
2271.75293,-13.409546
2277.13623,-13.417591
2282.519531,-13.297813
2287.902832,-13.262855
2293.286133,-13.494369
2298.669434,-13.653652
2304.052734,-13.619908
2309.436035,-13.333187
2314.819336,-13.456135
2320.202637,-13.825466
2325.585938,-13.835624
2330.969238,-13.952336
2336.352539,-14.023964
2341.73584,-13.526657
2347.119141,-13.449955
2352.502441,-13.683307
2357.885742,-13.978066
2363.269043,-14.506626
2368.652344,-14.620884
2374.035645,-14.725834
2379.418945,-14.616863
2384.802246,-14.476105
2390.185547,-14.162136
2395.568848,-14.340767
2400.952148,-14.4809
2406.335449,-14.603832
2411.71875,-14.73933
2417.102051,-14.629764
2422.485352,-14.454933
2427.868652,-14.285053
2433.251953,-14.316029
2438.635254,-14.554382
2444.018555,-14.517528
2449.401855,-14.216793
2454.785156,-13.899486
2460.168457,-14.045418
2465.551758,-14.390881
2470.935059,-14.649582
2476.318359,-14.191758
2481.70166,-13.615467
2487.084961,-13.431751
2492.468262,-13.166172
2497.851562,-13.20818
2503.234863,-13.264389
2508.618164,-13.365402
2514.001465,-13.29271
2519.384766,-13.147572
2524.768066,-12.77018
2530.151367,-12.450245
2535.534668,-12.233597
2540.917969,-12.298706
2546.30127,-12.131504
2551.68457,-11.994915
2557.067871,-11.198478
2562.451172,-10.764431
2567.834473,-11.098968
2573.217773,-10.80275
2578.601074,-10.601757
2583.984375,-10.363552
2589.367676,-10.521591
2594.750977,-10.500016
2600.134277,-9.476113
2605.517578,-9.199596
2610.900879,-9.389954
2616.28418,-9.785134
2621.66748,-9.610272
2627.050781,-9.45016500000001
2632.434082,-9.614158
2637.817383,-9.70362099999999
2643.200684,-9.34864
2648.583984,-9.302704
2653.967285,-9.874466
2659.350586,-10.154659
2664.733887,-9.51780400000001
2670.117188,-8.940483
2675.500488,-8.923504
2680.883789,-8.788974
2686.26709,-8.763111
2691.650391,-9.037663
2697.033691,-8.915722
2702.416992,-9.210377
2707.800293,-9.507027
2713.183594,-8.94658999999999
2718.566895,-8.34519599999999
2723.950195,-8.01339
2729.333496,-7.911842
2734.716797,-7.739387
2740.100098,-7.973522
2745.483398,-8.45877400000001
2750.866699,-8.415779
2756.25,-8.441395
2761.633301,-8.556411
2767.016602,-8.423027
2772.399902,-8.20329699999999
2777.783203,-8.20475800000001
2783.166504,-8.509209
2788.549805,-8.976604
2793.933105,-9.477467
2799.316406,-9.791271
2804.699707,-9.665748
2810.083008,-9.28846
2815.466309,-9.079776
2820.849609,-8.735179
2826.23291,-8.639954
2831.616211,-8.552852
2836.999512,-8.52845000000001
2842.382812,-8.471759
2847.766113,-8.379052
2853.149414,-8.465744
2858.532715,-8.437184
2863.916016,-8.120568
2869.299316,-8.09552
2874.682617,-8.353294
2880.065918,-8.60792900000001
2885.449219,-8.697811
2890.83252,-8.935924
2896.21582,-9.121647
2901.599121,-9.43699299999999
2906.982422,-9.85420600000001
2912.365723,-10.483502
2917.749023,-10.784038
2923.132324,-10.944931
2928.515625,-11.147499
2933.898926,-11.364296
2939.282227,-11.394241
2944.665527,-11.877235
2950.048828,-12.334751
2955.432129,-12.422295
2960.81543,-12.23595
2966.19873,-12.120846
2971.582031,-12.140801
2976.965332,-12.183735
2982.348633,-12.050434
2987.731934,-12.153767
2993.115234,-12.181439
2998.498535,-12.129231
3003.881836,-11.834049
3009.265137,-11.616257
3014.648438,-11.3848
3020.031738,-11.304733
3025.415039,-11.248978
3030.79834,-11.002868
3036.181641,-11.014072
3041.564941,-11.06604
3046.948242,-10.836449
3052.331543,-10.383133
3057.714844,-10.184895
3063.098145,-9.930767
3068.481445,-9.660702
3073.864746,-9.301616
3079.248047,-9.22399100000001
3084.631348,-9.242897
3090.014648,-8.686432
3095.397949,-8.23033099999999
3100.78125,-7.90813
3106.164551,-7.70689400000001
3111.547852,-7.63784800000001
3116.931152,-7.094894
3122.314453,-6.590183
3127.697754,-5.966625
3133.081055,-5.711437
3138.464355,-5.807259
3143.847656,-6.235603
3149.230957,-6.545044
3154.614258,-6.86806499999999
3159.997559,-7.149128
3165.380859,-7.218624
3170.76416,-7.043762
3176.147461,-6.971431
3181.530762,-6.90691
3186.914062,-6.821491
3192.297363,-6.862423
3197.680664,-6.660007
3203.063965,-6.6945
3208.447266,-6.72295699999999
3213.830566,-6.730278
3219.213867,-6.785145
3224.597168,-6.69472499999999
3229.980469,-6.754769
3235.36377,-6.897766
3240.74707,-7.029934
3246.130371,-7.35231
3251.513672,-7.559227
3256.896973,-7.653549
3262.280273,-8.26251600000001
3267.663574,-8.64355000000001
3273.046875,-8.877678
3278.430176,-8.91795800000001
3283.813477,-9.240066
3289.196777,-9.819195
3294.580078,-10.16555
3299.963379,-10.537265
3305.34668,-10.990047
3310.72998,-11.253246
3316.113281,-11.367302
3321.496582,-11.539283
3326.879883,-11.683094
3332.263184,-11.972061
3337.646484,-12.07338
3343.029785,-12.021702
3348.413086,-11.979729
3353.796387,-11.903824
3359.179688,-11.61496
3364.562988,-11.630608
3369.946289,-11.589657
3375.32959,-11.30521
3380.712891,-10.937095
3386.096191,-10.682297
3391.479492,-10.503277
3396.862793,-10.453434
3402.246094,-10.348949
3407.629395,-9.716904
3413.012695,-9.47783999999999
3418.395996,-9.111702
3423.779297,-8.65174099999999
3429.162598,-8.468986
3434.545898,-8.305561
3439.929199,-8.002446
3445.3125,-7.915657
3450.695801,-7.831127
3456.079102,-7.822602
3461.462402,-7.99231399999999
3466.845703,-8.095699
3472.229004,-8.044789
3477.612305,-7.65314400000001
3482.995605,-7.47439900000001
3488.378906,-7.162628
3493.762207,-6.83754
3499.145508,-6.303807
3504.528809,-6.31940400000001
3509.912109,-6.411606
3515.29541,-6.112781
3520.678711,-5.535431
3526.062012,-4.42038400000001
3531.445312,-3.521134
3536.828613,-2.887882
3542.211914,-2.625534
3547.595215,-1.784031
3552.978516,-1.36088100000001
3558.361816,-0.916545999999997
3563.745117,-0.622851999999995
3569.128418,-0.517132000000004
3574.511719,-0.408729999999999
3579.89502,-0.892882999999998
3585.27832,-1.308449
3590.661621,-1.331791
3596.044922,-1.12432099999999
3601.428223,-1.151962
3606.811523,-1.50774800000001
3612.194824,-1.48458900000001
