Frequency (Hz)	Level (dB)
1.345825	-51.997574
2.691650	-42.093655
4.037476	-37.350513
5.383301	-26.534798
6.729126	-21.161226
8.074951	-26.828474
9.420776	-37.008228
10.766602	-36.824917
12.112427	-38.321445
13.458252	-35.939148
14.804077	-34.849762
16.149902	-35.050468
17.495728	-38.443542
18.841553	-38.973816
20.187378	-42.237801
21.533203	-46.617783
22.879028	-50.693012
24.224854	-52.416077
25.570679	-54.001404
26.916504	-54.635361
28.262329	-55.638325
29.608154	-55.339573
30.953979	-55.814884
32.299805	-54.646049
33.645630	-50.932758
34.991455	-54.527504
36.337280	-56.307213
37.683105	-54.856041
39.028931	-58.151104
40.374756	-60.331581
41.720581	-54.673832
43.066406	-51.160400
44.412231	-51.889614
45.758057	-49.435890
47.103882	-49.914700
48.449707	-51.733620
49.795532	-54.032597
51.141357	-55.473598
52.487183	-53.499756
53.833008	-54.687302
55.178833	-57.933407
56.524658	-57.460545
57.870483	-55.504822
59.216309	-51.325520
60.562134	-50.194866
61.907959	-53.465897
63.253784	-56.029709
64.599609	-57.792530
65.945435	-57.093853
67.291260	-57.249123
68.637085	-56.959694
69.982910	-57.777649
71.328735	-56.806019
72.674561	-55.249924
74.020386	-56.991657
75.366211	-58.842388
76.712036	-59.885414
78.057861	-59.664860
79.403687	-59.870983
80.749512	-58.129097
82.095337	-55.260086
83.441162	-55.848225
84.786987	-60.207756
86.132812	-61.996250
87.478638	-61.768288
88.824463	-60.890408
90.170288	-61.503723
91.516113	-60.625671
92.861938	-62.271427
94.207764	-62.774681
95.553589	-62.276360
96.899414	-62.044327
98.245239	-61.875393
99.591064	-60.889954
100.936890	-59.572399
102.282715	-57.826275
103.628540	-58.569584
104.974365	-58.444637
106.320190	-55.698971
107.666016	-56.110649
109.011841	-57.765793
110.357666	-56.255474
111.703491	-55.791229
113.049316	-56.140827
114.395142	-57.640785
115.740967	-59.368679
117.086792	-60.584129
118.432617	-55.234566
119.778442	-47.753761
121.124268	-50.967834
122.470093	-58.429897
123.815918	-57.843700
125.161743	-57.647690
126.507568	-60.153076
127.853394	-62.471470
129.199219	-63.447830
130.545044	-63.394039
131.890869	-63.272976
133.236694	-62.171680
134.582520	-60.511307
135.928345	-59.825645
137.274170	-61.231781
138.619995	-61.824398
139.965820	-62.643414
141.311646	-62.640858
142.657471	-61.605461
144.003296	-61.540440
145.349121	-61.404007
146.694946	-61.470409
148.040771	-62.695366
149.386597	-62.408096
150.732422	-63.695595
152.078247	-63.544109
153.424072	-62.328915
154.769897	-64.258560
156.115723	-65.468285
157.461548	-67.112015
158.807373	-66.929466
160.153198	-65.876900
161.499023	-67.428093
162.844849	-69.606789
164.190674	-69.453270
165.536499	-69.706955
166.882324	-68.088234
168.228149	-67.979790
169.573975	-69.327179
170.919800	-68.472595
172.265625	-67.579819
173.611450	-68.926765
174.957275	-67.508247
176.303101	-65.536171
177.648926	-64.938850
178.994751	-65.196159
180.340576	-64.845619
181.686401	-65.218643
183.032227	-66.498169
184.378052	-65.690178
185.723877	-64.677139
187.069702	-65.204178
188.415527	-66.550125
189.761353	-68.262245
191.107178	-68.990456
192.453003	-67.407318
193.798828	-68.427452
195.144653	-69.489326
196.490479	-69.474380
197.836304	-68.606277
199.182129	-67.629211
200.527954	-64.636497
201.873779	-66.423416
203.219604	-67.533295
204.565430	-67.693314
205.911255	-69.631493
207.257080	-68.118759
208.602905	-67.365547
